epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,74.8539,1.82655,3.49409,0.00566,0.6556,0.25098,0.29248,0.15531,1.74843,1.96913,0.00652,0.0099734,0.00332447,0.0099734,0.00332447,0.0099734,0.00332447,0.0099734,0.00332447
2,132.434,1.83256,1.97356,0.00549,0.59668,0.38997,0.37678,0.21026,1.73459,1.74404,0.00678,0.0197262,0.00657541,0.0197262,0.00657541,0.0197262,0.00657541,0.0197262,0.00657541
3,186.455,1.83369,1.84268,0.00558,0.54017,0.35814,0.37179,0.20687,1.78604,1.88272,0.00724,0.0292316,0.00974385,0.0292316,0.00974385,0.0292316,0.00974385,0.0292316,0.00974385
4,238.378,1.83352,1.83627,0.00577,0.53858,0.40238,0.40873,0.21166,1.81463,1.90683,0.00734,0.0288862,0.00962875,0.0288862,0.00962875,0.0288862,0.00962875,0.0288862,0.00962875
5,289.48,1.87103,1.75006,0.00581,0.52674,0.41934,0.40601,0.21883,1.78334,1.72209,0.00723,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
6,340.467,1.851,1.7122,0.00584,0.64461,0.41995,0.43515,0.23619,1.76926,1.67659,0.00702,0.0281437,0.00938125,0.0281437,0.00938125,0.0281437,0.00938125,0.0281437,0.00938125
7,391.887,1.84735,1.70945,0.00576,0.5438,0.44947,0.45561,0.24658,1.81905,1.64589,0.0074,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
8,443.509,1.82682,1.59051,0.00561,0.58759,0.3497,0.39827,0.23613,1.78751,1.66791,0.00712,0.0274012,0.00913375,0.0274012,0.00913375,0.0274012,0.00913375,0.0274012,0.00913375
9,494.977,1.82274,1.56389,0.00555,0.68513,0.40395,0.43214,0.22917,1.81503,1.65613,0.00736,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
10,546.721,1.81374,1.52146,0.00539,0.64478,0.4695,0.46731,0.27065,1.79383,1.63476,0.00712,0.0266587,0.00888625,0.0266587,0.00888625,0.0266587,0.00888625,0.0266587,0.00888625
11,597.874,1.77869,1.45378,0.00527,0.63265,0.46685,0.4907,0.26957,1.78493,1.63962,0.0071,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
12,649.408,1.78534,1.46204,0.00531,0.67485,0.44829,0.49277,0.27578,1.69951,1.56128,0.00674,0.0259163,0.00863875,0.0259163,0.00863875,0.0259163,0.00863875,0.0259163,0.00863875
13,701.362,1.76507,1.42227,0.00532,0.67954,0.43975,0.47316,0.25376,1.77573,1.60778,0.00708,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
14,752.744,1.75787,1.41257,0.00529,0.61733,0.47619,0.49048,0.26394,1.76108,1.47669,0.00718,0.0251737,0.00839125,0.0251737,0.00839125,0.0251737,0.00839125,0.0251737,0.00839125
15,804.044,1.742,1.34485,0.00511,0.65809,0.49274,0.49799,0.26988,1.76257,1.5313,0.00697,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
16,855.674,1.72833,1.34353,0.00513,0.71239,0.47728,0.52361,0.29153,1.74351,1.44641,0.00702,0.0244312,0.00814375,0.0244312,0.00814375,0.0244312,0.00814375,0.0244312,0.00814375
17,908.891,1.7281,1.32035,0.00515,0.67092,0.49973,0.5104,0.29352,1.72723,1.57468,0.00696,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
18,964.185,1.71534,1.31547,0.00511,0.73236,0.41611,0.45552,0.24523,1.79186,1.57891,0.00719,0.0236888,0.00789625,0.0236888,0.00789625,0.0236888,0.00789625,0.0236888,0.00789625
19,1017.93,1.72673,1.30114,0.00503,0.70547,0.50579,0.52303,0.28692,1.72043,1.50101,0.00689,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
20,1069.33,1.68593,1.26083,0.00497,0.62884,0.51671,0.53988,0.30121,1.7187,1.5061,0.00685,0.0229462,0.00764875,0.0229462,0.00764875,0.0229462,0.00764875,0.0229462,0.00764875
21,1120.57,1.68221,1.24839,0.00495,0.69453,0.50081,0.52715,0.28547,1.7451,1.42503,0.00682,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
22,1171.78,1.69328,1.2029,0.0049,0.71746,0.47367,0.51662,0.2906,1.74326,1.43592,0.00699,0.0222038,0.00740125,0.0222038,0.00740125,0.0222038,0.00740125,0.0222038,0.00740125
23,1222.67,1.6693,1.20921,0.0048,0.7255,0.51505,0.5186,0.30519,1.71256,1.53817,0.00661,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
24,1274.01,1.66046,1.19553,0.00477,0.63551,0.51819,0.50945,0.28636,1.75617,1.49328,0.007,0.0214612,0.00715375,0.0214612,0.00715375,0.0214612,0.00715375,0.0214612,0.00715375
25,1324.74,1.63848,1.15644,0.00469,0.66196,0.52954,0.53136,0.30478,1.70685,1.44314,0.00666,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
26,1375.66,1.64202,1.16938,0.00477,0.59832,0.52094,0.49955,0.2737,1.73801,1.57421,0.00704,0.0207188,0.00690625,0.0207188,0.00690625,0.0207188,0.00690625,0.0207188,0.00690625
27,1426.18,1.65503,1.16777,0.0048,0.69767,0.50339,0.50589,0.29315,1.76217,1.4856,0.00669,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
28,1476.72,1.65817,1.1389,0.00463,0.70174,0.49139,0.54014,0.31368,1.71651,1.46734,0.00669,0.0199762,0.00665875,0.0199762,0.00665875,0.0199762,0.00665875,0.0199762,0.00665875
29,1527.69,1.65538,1.14249,0.00479,0.70154,0.48468,0.52914,0.30632,1.73751,1.43409,0.00685,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
30,1578.8,1.60546,1.0961,0.0047,0.64399,0.5322,0.53305,0.3128,1.69411,1.44219,0.00663,0.0192337,0.00641125,0.0192337,0.00641125,0.0192337,0.00641125,0.0192337,0.00641125
31,1629.68,1.60385,1.09048,0.00457,0.71199,0.53707,0.55489,0.32772,1.67381,1.44088,0.00643,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
32,1680.36,1.61271,1.09764,0.00455,0.70106,0.54287,0.55366,0.32903,1.70151,1.38069,0.00677,0.0184913,0.00616375,0.0184913,0.00616375,0.0184913,0.00616375,0.0184913,0.00616375
33,1730.98,1.58617,1.07189,0.00451,0.65719,0.54639,0.55742,0.31664,1.71405,1.45061,0.00677,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
34,1781.92,1.56182,1.03606,0.00454,0.64767,0.5783,0.57096,0.32055,1.67942,1.36336,0.00662,0.0177488,0.00591625,0.0177488,0.00591625,0.0177488,0.00591625,0.0177488,0.00591625
35,1833.67,1.59106,1.03976,0.00435,0.69926,0.55468,0.55455,0.31879,1.73024,1.38867,0.00656,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
36,1885.56,1.55123,1.01502,0.00443,0.68761,0.55082,0.57058,0.31462,1.72483,1.39825,0.00668,0.0170063,0.00566875,0.0170063,0.00566875,0.0170063,0.00566875,0.0170063,0.00566875
37,1936.54,1.57249,1.00642,0.00438,0.69969,0.54308,0.56345,0.31305,1.71757,1.46432,0.0066,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
38,1987.43,1.54429,0.99874,0.00437,0.71176,0.52529,0.56706,0.33048,1.72234,1.45017,0.00662,0.0162637,0.00542125,0.0162637,0.00542125,0.0162637,0.00542125,0.0162637,0.00542125
39,2037.9,1.55985,0.99854,0.00432,0.68336,0.54807,0.57233,0.33184,1.69916,1.42361,0.00648,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975
40,2088.64,1.55132,1.00246,0.00435,0.68223,0.56851,0.56907,0.31733,1.73974,1.41236,0.00662,0.0155212,0.00517375,0.0155212,0.00517375,0.0155212,0.00517375,0.0155212,0.00517375
41,2139.5,1.54287,0.98078,0.0043,0.69374,0.55983,0.57016,0.32429,1.71288,1.35681,0.00654,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
42,2189.64,1.54378,0.97504,0.0043,0.72288,0.56349,0.56885,0.31817,1.70645,1.39509,0.00653,0.0147788,0.00492625,0.0147788,0.00492625,0.0147788,0.00492625,0.0147788,0.00492625
43,2240.55,1.53858,0.95552,0.00418,0.75296,0.54967,0.57703,0.33252,1.68614,1.33794,0.00642,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025
44,2291.35,1.50373,0.92882,0.0041,0.73242,0.56298,0.562,0.31418,1.69589,1.39814,0.00644,0.0140363,0.00467875,0.0140363,0.00467875,0.0140363,0.00467875,0.0140363,0.00467875
45,2341.94,1.505,0.94238,0.00416,0.7195,0.56271,0.57262,0.32583,1.68958,1.47559,0.00638,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
46,2392.77,1.49884,0.91713,0.00423,0.72427,0.55723,0.57898,0.32151,1.68342,1.45415,0.0063,0.0132938,0.00443125,0.0132938,0.00443125,0.0132938,0.00443125,0.0132938,0.00443125
47,2443.91,1.50638,0.92229,0.00398,0.74376,0.56122,0.56865,0.31419,1.70894,1.3743,0.00642,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075
48,2496.28,1.48763,0.9029,0.004,0.73274,0.57722,0.58321,0.31447,1.71101,1.411,0.00655,0.0125512,0.00418375,0.0125512,0.00418375,0.0125512,0.00418375,0.0125512,0.00418375
49,2547.68,1.47123,0.90014,0.00409,0.71902,0.57164,0.5703,0.32413,1.70961,1.41998,0.00653,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
