epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,123.464,1.81307,4.21549,0.0054,0.59078,0.19274,0.17386,0.10176,1.71981,2.30779,0.00664,0.0099734,0.00332447,0.0099734,0.00332447,0.0099734,0.00332447,0.0099734,0.00332447
2,227.214,1.8052,2.35217,0.00543,0.62699,0.3428,0.34367,0.17949,1.72887,1.83818,0.00657,0.0197262,0.00657541,0.0197262,0.00657541,0.0197262,0.00657541,0.0197262,0.00657541
3,327.462,1.83617,1.98327,0.00571,0.522,0.3836,0.34571,0.1698,1.86796,1.85634,0.00749,0.0292316,0.00974385,0.0292316,0.00974385,0.0292316,0.00974385,0.0292316,0.00974385
4,426.289,1.86062,1.8763,0.00589,0.50499,0.37295,0.35404,0.18691,1.87522,1.80725,0.00784,0.0288862,0.00962875,0.0288862,0.00962875,0.0288862,0.00962875,0.0288862,0.00962875
5,525.836,1.85845,1.79861,0.00576,0.62715,0.37726,0.39163,0.1984,1.80866,1.72208,0.00733,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
6,625.274,1.87926,1.73767,0.00574,0.49622,0.40661,0.38616,0.20578,1.8445,1.67407,0.0076,0.0281437,0.00938125,0.0281437,0.00938125,0.0281437,0.00938125,0.0281437,0.00938125
7,725.54,1.83636,1.63714,0.00557,0.63934,0.40591,0.41808,0.21091,1.80845,1.65566,0.00713,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
8,825.41,1.83594,1.61207,0.00564,0.61933,0.41883,0.41988,0.20846,1.78743,1.67703,0.00724,0.0274012,0.00913375,0.0274012,0.00913375,0.0274012,0.00913375,0.0274012,0.00913375
9,924.913,1.82273,1.54208,0.0056,0.54577,0.43958,0.43217,0.22297,1.82326,1.59103,0.00731,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
10,1023.8,1.8056,1.50552,0.00553,0.56429,0.4243,0.4416,0.2355,1.81447,1.57493,0.00737,0.0266587,0.00888625,0.0266587,0.00888625,0.0266587,0.00888625,0.0266587,0.00888625
