epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,120.637,1.82436,4.23252,0.00543,0.66581,0.18101,0.17938,0.10472,1.7151,2.34878,0.00635,0.0099734,0.00332447,0.0099734,0.00332447,0.0099734,0.00332447,0.0099734,0.00332447
2,220.157,1.79935,2.36379,0.00541,0.61192,0.31651,0.33793,0.18114,1.74696,1.87073,0.00686,0.0197262,0.00657541,0.0197262,0.00657541,0.0197262,0.00657541,0.0197262,0.00657541
3,315.056,1.82715,1.96487,0.00566,0.62931,0.36532,0.37589,0.18321,1.81161,1.8734,0.00729,0.0292316,0.00974385,0.0292316,0.00974385,0.0292316,0.00974385,0.0292316,0.00974385
4,410.074,1.84516,1.8919,0.0058,0.5004,0.39343,0.37674,0.18514,1.89778,1.85348,0.00797,0.0288862,0.00962875,0.0288862,0.00962875,0.0288862,0.00962875,0.0288862,0.00962875
5,505.267,1.87412,1.80827,0.0058,0.62051,0.37094,0.39217,0.21296,1.8212,1.73954,0.00745,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
6,600.895,1.86428,1.72027,0.00563,0.66113,0.41069,0.44257,0.24633,1.80923,1.63886,0.00738,0.0281437,0.00938125,0.0281437,0.00938125,0.0281437,0.00938125,0.0281437,0.00938125
7,696.09,1.83308,1.6726,0.00561,0.68355,0.41907,0.45448,0.23508,1.83551,1.64143,0.00734,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
8,791.051,1.8437,1.62294,0.00571,0.66364,0.42182,0.48154,0.27155,1.72533,1.58321,0.00697,0.0274012,0.00913375,0.0274012,0.00913375,0.0274012,0.00913375,0.0274012,0.00913375
9,886.336,1.8245,1.55889,0.00562,0.64717,0.40906,0.44463,0.24069,1.86761,1.63178,0.00766,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
10,982.703,1.80306,1.53256,0.0055,0.66221,0.41598,0.46969,0.24057,1.80765,1.62596,0.00715,0.0266587,0.00888625,0.0266587,0.00888625,0.0266587,0.00888625,0.0266587,0.00888625
11,1076.87,1.79046,1.45787,0.00533,0.54213,0.51237,0.46367,0.25222,1.7847,1.54382,0.00712,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
12,1171.11,1.75798,1.42383,0.00559,0.71238,0.47845,0.50795,0.27934,1.76263,1.512,0.00695,0.0259163,0.00863875,0.0259163,0.00863875,0.0259163,0.00863875,0.0259163,0.00863875
13,1265.63,1.76162,1.4007,0.00526,0.62742,0.4482,0.46774,0.25214,1.81128,1.59243,0.00718,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
14,1360.07,1.76208,1.38938,0.00531,0.67688,0.4482,0.51091,0.28672,1.7672,1.51034,0.00698,0.0251737,0.00839125,0.0251737,0.00839125,0.0251737,0.00839125,0.0251737,0.00839125
15,1455.28,1.73677,1.3638,0.00518,0.70526,0.473,0.51027,0.27803,1.75064,1.48591,0.00693,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
16,1550.35,1.71688,1.32028,0.00511,0.61523,0.48319,0.47815,0.26076,1.78562,1.5466,0.00715,0.0244312,0.00814375,0.0244312,0.00814375,0.0244312,0.00814375,0.0244312,0.00814375
17,1645.39,1.71015,1.29767,0.00502,0.62375,0.50084,0.50447,0.27945,1.77273,1.43378,0.00699,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
18,1741.66,1.72878,1.30523,0.00507,0.67844,0.48976,0.50147,0.27325,1.78362,1.49787,0.00707,0.0236888,0.00789625,0.0236888,0.00789625,0.0236888,0.00789625,0.0236888,0.00789625
19,1836.8,1.71236,1.26375,0.0052,0.65312,0.51071,0.51616,0.29093,1.73069,1.47429,0.00684,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
20,1931.54,1.72161,1.24634,0.00497,0.64605,0.53823,0.5247,0.27643,1.74388,1.46517,0.00689,0.0229462,0.00764875,0.0229462,0.00764875,0.0229462,0.00764875,0.0229462,0.00764875
21,2025.8,1.69516,1.22909,0.00493,0.75298,0.51344,0.53578,0.29792,1.75461,1.42316,0.00705,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
