epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,118.02,1.83992,4.48797,0.00554,0.75206,0.1793,0.20922,0.11028,1.71547,2.29296,0.00647,0.0099734,0.00332447,0.0099734,0.00332447,0.0099734,0.00332447,0.0099734,0.00332447
2,217.674,1.80635,2.31508,0.00542,0.48874,0.27174,0.27,0.15016,1.76977,1.87887,0.0069,0.0197262,0.00657541,0.0197262,0.00657541,0.0197262,0.00657541,0.0197262,0.00657541
3,313.255,1.81287,1.9196,0.00548,0.57204,0.31665,0.32422,0.16644,1.82261,1.79796,0.00719,0.0292316,0.00974385,0.0292316,0.00974385,0.0292316,0.00974385,0.0292316,0.00974385
4,408.109,1.87125,1.93765,0.00579,0.52792,0.33765,0.33911,0.19132,1.79032,1.85962,0.00735,0.0288862,0.00962875,0.0288862,0.00962875,0.0288862,0.00962875,0.0288862,0.00962875
5,503.123,1.88043,1.76199,0.00603,0.59428,0.39617,0.39421,0.22203,1.82332,1.6858,0.00744,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
6,597.486,1.83174,1.653,0.00581,0.62755,0.37911,0.40328,0.21861,1.80606,1.75609,0.00758,0.0281437,0.00938125,0.0281437,0.00938125,0.0281437,0.00938125,0.0281437,0.00938125
7,691.816,1.8319,1.61162,0.00565,0.63939,0.43648,0.44141,0.23492,1.80303,1.68143,0.00715,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
8,786.335,1.80019,1.59425,0.0055,0.61163,0.42952,0.43907,0.24434,1.7645,1.56331,0.0072,0.0274012,0.00913375,0.0274012,0.00913375,0.0274012,0.00913375,0.0274012,0.00913375
9,881.043,1.80156,1.5358,0.00558,0.61299,0.43597,0.47578,0.2466,1.80921,1.55416,0.00738,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
10,975.936,1.79583,1.49729,0.00547,0.71662,0.45459,0.48739,0.25579,1.80752,1.55694,0.00748,0.0266587,0.00888625,0.0266587,0.00888625,0.0266587,0.00888625,0.0266587,0.00888625
11,1070.19,1.79978,1.45998,0.00544,0.5673,0.47351,0.447,0.23771,1.79465,1.63539,0.0073,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
12,1165.45,1.76811,1.4272,0.00536,0.66984,0.49089,0.51313,0.27971,1.73524,1.53422,0.00706,0.0259163,0.00863875,0.0259163,0.00863875,0.0259163,0.00863875,0.0259163,0.00863875
13,1264.91,1.7668,1.37939,0.00543,0.56686,0.52776,0.49612,0.26575,1.83384,1.49412,0.00755,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
14,1359.38,1.7641,1.38675,0.00529,0.69316,0.46953,0.48486,0.27366,1.81958,1.53805,0.00725,0.0251737,0.00839125,0.0251737,0.00839125,0.0251737,0.00839125,0.0251737,0.00839125
15,1454.04,1.75984,1.35478,0.00517,0.65009,0.50257,0.51058,0.28241,1.8013,1.5598,0.00717,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
16,1548.62,1.70621,1.32286,0.0052,0.68624,0.48341,0.52378,0.27265,1.76766,1.49113,0.00686,0.0244312,0.00814375,0.0244312,0.00814375,0.0244312,0.00814375,0.0244312,0.00814375
17,1643.34,1.73469,1.29929,0.00499,0.72809,0.49724,0.53284,0.29062,1.77108,1.43503,0.0069,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
18,1737.92,1.70908,1.28192,0.00498,0.72719,0.47685,0.50691,0.29357,1.75031,1.5029,0.00692,0.0236888,0.00789625,0.0236888,0.00789625,0.0236888,0.00789625,0.0236888,0.00789625
19,1832.77,1.73497,1.26475,0.005,0.75833,0.49469,0.53626,0.30203,1.81912,1.4419,0.00727,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
20,1927.29,1.73643,1.24654,0.00498,0.62235,0.52304,0.52797,0.28444,1.74897,1.45146,0.0069,0.0229462,0.00764875,0.0229462,0.00764875,0.0229462,0.00764875,0.0229462,0.00764875
21,2021.39,1.67515,1.19541,0.00499,0.68214,0.50381,0.52194,0.28257,1.71944,1.45197,0.00678,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
22,2115.89,1.67465,1.2185,0.00501,0.61553,0.48918,0.5046,0.27982,1.78308,1.43569,0.00701,0.0222038,0.00740125,0.0222038,0.00740125,0.0222038,0.00740125,0.0222038,0.00740125
23,2210.3,1.65953,1.19208,0.00485,0.63754,0.54179,0.53218,0.29433,1.76719,1.39904,0.00699,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
24,2305.14,1.66834,1.16347,0.00487,0.69745,0.49639,0.51559,0.28146,1.80281,1.42423,0.0072,0.0214612,0.00715375,0.0214612,0.00715375,0.0214612,0.00715375,0.0214612,0.00715375
25,2400.14,1.64661,1.1301,0.00479,0.68627,0.53517,0.54466,0.29958,1.73582,1.35994,0.0069,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
26,2494.96,1.64434,1.13477,0.00475,0.6908,0.51831,0.5249,0.29877,1.78595,1.42598,0.00714,0.0207188,0.00690625,0.0207188,0.00690625,0.0207188,0.00690625,0.0207188,0.00690625
27,2589.54,1.65927,1.13927,0.00479,0.70399,0.53393,0.54641,0.29689,1.74321,1.40053,0.007,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
28,2684.3,1.64764,1.11178,0.00466,0.70756,0.52036,0.54649,0.31185,1.72974,1.39301,0.00679,0.0199762,0.00665875,0.0199762,0.00665875,0.0199762,0.00665875,0.0199762,0.00665875
29,2779.64,1.62943,1.10511,0.00469,0.69635,0.50619,0.51584,0.28756,1.75609,1.40844,0.00685,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
30,2877.59,1.61943,1.07956,0.0046,0.70044,0.55338,0.56834,0.33713,1.73233,1.35654,0.00671,0.0192337,0.00641125,0.0192337,0.00641125,0.0192337,0.00641125,0.0192337,0.00641125
31,2971.98,1.60751,1.0928,0.00468,0.69935,0.51437,0.54032,0.31133,1.73604,1.38509,0.00686,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
32,3066.57,1.59443,1.05882,0.00455,0.73088,0.53607,0.57268,0.32919,1.71389,1.36435,0.00663,0.0184913,0.00616375,0.0184913,0.00616375,0.0184913,0.00616375,0.0184913,0.00616375
33,3160.9,1.5965,1.04125,0.00453,0.66213,0.54457,0.55924,0.32129,1.71921,1.41473,0.0068,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
34,3255.69,1.61245,1.04041,0.00448,0.72238,0.4995,0.54967,0.31312,1.71466,1.42438,0.00661,0.0177488,0.00591625,0.0177488,0.00591625,0.0177488,0.00591625,0.0177488,0.00591625
35,3350.57,1.60699,1.02629,0.00453,0.7245,0.53698,0.54909,0.31505,1.74491,1.40284,0.00682,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
36,3445.93,1.59741,1.0186,0.00442,0.65315,0.55245,0.57096,0.3251,1.70041,1.43217,0.00651,0.0170063,0.00566875,0.0170063,0.00566875,0.0170063,0.00566875,0.0170063,0.00566875
37,3541.41,1.55312,1.00413,0.00445,0.66957,0.55249,0.56998,0.32731,1.71277,1.37282,0.00676,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
38,3637.23,1.55741,0.98296,0.00438,0.76137,0.52538,0.57017,0.33443,1.67025,1.32449,0.00637,0.0162637,0.00542125,0.0162637,0.00542125,0.0162637,0.00542125,0.0162637,0.00542125
39,3731.6,1.54454,0.96691,0.00433,0.75065,0.51698,0.56774,0.3212,1.73015,1.42388,0.0067,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975
40,3827.94,1.5347,0.94816,0.00428,0.71258,0.55375,0.56781,0.31181,1.7356,1.40826,0.00676,0.0155212,0.00517375,0.0155212,0.00517375,0.0155212,0.00517375,0.0155212,0.00517375
41,3922.41,1.53807,0.9662,0.00431,0.73195,0.5412,0.55555,0.32457,1.71078,1.43113,0.0068,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
42,4016.66,1.52097,0.9458,0.0043,0.75765,0.53058,0.56292,0.32645,1.67503,1.46257,0.00655,0.0147788,0.00492625,0.0147788,0.00492625,0.0147788,0.00492625,0.0147788,0.00492625
43,4111.95,1.54774,0.95245,0.0042,0.71279,0.57262,0.57555,0.33368,1.68775,1.4207,0.00659,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025
44,4207.75,1.52694,0.94441,0.00419,0.7352,0.56288,0.57025,0.31803,1.68516,1.38973,0.0064,0.0140363,0.00467875,0.0140363,0.00467875,0.0140363,0.00467875,0.0140363,0.00467875
45,4302.49,1.53456,0.91589,0.00431,0.73179,0.55257,0.56768,0.32339,1.72025,1.37018,0.00658,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
46,4397.04,1.49065,0.92196,0.00408,0.72955,0.5598,0.58891,0.33897,1.68209,1.37083,0.00647,0.0132938,0.00443125,0.0132938,0.00443125,0.0132938,0.00443125,0.0132938,0.00443125
47,4492.33,1.4698,0.88388,0.00414,0.72463,0.56383,0.57531,0.33044,1.68179,1.40647,0.00645,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075
48,4587.53,1.46382,0.87701,0.00408,0.75385,0.56331,0.5909,0.34571,1.67413,1.3686,0.00637,0.0125512,0.00418375,0.0125512,0.00418375,0.0125512,0.00418375,0.0125512,0.00418375
49,4682.37,1.47802,0.89378,0.00403,0.69648,0.57408,0.56449,0.327,1.68905,1.37875,0.00641,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
50,4776.44,1.43293,0.85001,0.004,0.70634,0.57961,0.57442,0.3418,1.69228,1.38729,0.00647,0.0118087,0.00393625,0.0118087,0.00393625,0.0118087,0.00393625,0.0118087,0.00393625
51,4870.72,1.45306,0.85257,0.004,0.7096,0.57411,0.58125,0.34678,1.68721,1.36159,0.00638,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125
52,4965.3,1.4476,0.85536,0.00401,0.73131,0.52696,0.56107,0.31484,1.67698,1.39549,0.00626,0.0110663,0.00368875,0.0110663,0.00368875,0.0110663,0.00368875,0.0110663,0.00368875
53,5062.42,1.44744,0.85228,0.00394,0.73299,0.57855,0.57497,0.32965,1.68963,1.41925,0.00643,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
54,5157.32,1.45329,0.84108,0.00394,0.7211,0.56951,0.5667,0.32523,1.69544,1.43268,0.00641,0.0103237,0.00344125,0.0103237,0.00344125,0.0103237,0.00344125,0.0103237,0.00344125
55,5252.26,1.43407,0.84305,0.00379,0.71452,0.56867,0.57124,0.33417,1.68942,1.42583,0.00646,0.0099525,0.0033175,0.0099525,0.0033175,0.0099525,0.0033175,0.0099525,0.0033175
56,5347.44,1.41607,0.81207,0.00388,0.73657,0.56781,0.5695,0.33637,1.68176,1.39712,0.00634,0.00958125,0.00319375,0.00958125,0.00319375,0.00958125,0.00319375,0.00958125,0.00319375
57,5452.86,1.38163,0.79669,0.00376,0.7284,0.57479,0.58059,0.35284,1.67773,1.39284,0.00636,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
58,5557.73,1.41171,0.80562,0.0037,0.6976,0.57412,0.57006,0.33407,1.67442,1.38165,0.00634,0.00883875,0.00294625,0.00883875,0.00294625,0.00883875,0.00294625,0.00883875,0.00294625
59,5661.61,1.40205,0.80191,0.00373,0.72004,0.56023,0.56763,0.34354,1.67425,1.43777,0.00636,0.0084675,0.0028225,0.0084675,0.0028225,0.0084675,0.0028225,0.0084675,0.0028225
60,5766.06,1.42567,0.80449,0.00374,0.73538,0.56218,0.57863,0.35319,1.65819,1.39732,0.00613,0.00809625,0.00269875,0.00809625,0.00269875,0.00809625,0.00269875,0.00809625,0.00269875
