epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.09758,1.37519,6.67039,0.00864,0.91982,0.14286,0.09997,0.07827,1.42683,7.36133,0.01271,0.000625,0.000625,0.000625
2,3.37665,1.77816,7.05254,0.01074,0.64124,0.16048,0.05219,0.04096,1.54461,8.34494,0.01208,0.000617266,0.000617266,0.000617266
3,4.76209,2.16947,6.43091,0.01273,0.29899,0.02857,0.00363,0.00146,1.8359,8.27233,0.01236,0.000609531,0.000609531,0.000609531
4,5.8744,2.0004,4.5819,0.01014,0.6126,0.02857,0.01461,0.0031,1.86987,11.1763,0.01691,0.000601797,0.000601797,0.000601797
5,7.0796,1.7114,3.9469,0.009,0.8128,0.02857,0.04016,0.02146,1.60483,8.64679,0.01396,0.000594062,0.000594062,0.000594062
6,8.27307,1.90252,3.44642,0.00864,0.39348,0.09286,0.03766,0.02296,1.80236,10.5234,0.01675,0.000586328,0.000586328,0.000586328
7,9.43203,1.86762,3.25021,0.01212,0.45199,0.06429,0.04471,0.02211,1.93675,6.35132,0.01571,0.000578594,0.000578594,0.000578594
8,10.745,1.70232,3.01155,0.00885,0.24257,0.06429,0.06342,0.03368,1.64016,5.89326,0.01478,0.000570859,0.000570859,0.000570859
9,11.8923,1.78735,2.53888,0.01011,0.07951,0.09286,0.04107,0.02041,1.71901,6.0674,0.02129,0.000563125,0.000563125,0.000563125
10,13.0984,1.74696,2.76753,0.01138,0.02149,0.09286,0.03701,0.01846,1.91131,6.84483,0.01898,0.000555391,0.000555391,0.000555391
11,14.5846,1.60079,2.88615,0.00828,0.20943,0.06429,0.03888,0.02185,2.0589,6.28159,0.01899,0.000547656,0.000547656,0.000547656
12,16.0396,1.53503,2.46246,0.009,0.52263,0.03571,0.03942,0.02399,2.07363,4.85278,0.01831,0.000539922,0.000539922,0.000539922
13,17.2652,1.62876,2.77,0.0067,0.40945,0.03571,0.03549,0.02815,2.25382,6.05535,0.022,0.000532187,0.000532187,0.000532187
14,18.5341,1.65435,2.19891,0.00963,0.49244,0.03571,0.03526,0.02919,2.4851,9.71936,0.02625,0.000524453,0.000524453,0.000524453
15,19.685,1.52158,1.80163,0.00661,0.55067,0.03571,0.03775,0.02695,2.53274,6.16882,0.02461,0.000516719,0.000516719,0.000516719
16,20.7752,1.50032,1.8827,0.00624,0.57775,0.06429,0.04477,0.02165,2.34502,4.41826,0.02365,0.000508984,0.000508984,0.000508984
17,21.9683,1.71284,2.26991,0.01305,0.0509,0.12857,0.05524,0.02623,2.11818,4.75549,0.02217,0.00050125,0.00050125,0.00050125
18,23.0969,1.57494,1.72164,0.01014,0.61621,0.02857,0.04658,0.02203,2.20853,4.55304,0.02128,0.000493516,0.000493516,0.000493516
19,24.2802,1.51423,1.81246,0.00808,0.69035,0.02857,0.04782,0.02503,2.01263,5.06459,0.01938,0.000485781,0.000485781,0.000485781
20,25.4338,1.43576,1.4936,0.00624,0.36138,0.06429,0.0395,0.0156,2.25637,5.16107,0.02174,0.000478047,0.000478047,0.000478047
21,26.6201,1.39884,1.48975,0.00649,0.35682,0.06429,0.04103,0.01803,2.37652,5.06975,0.02397,0.000470312,0.000470312,0.000470312
22,27.8559,1.48967,1.37814,0.0084,0.50952,0.06189,0.02175,0.0143,2.42577,4.75109,0.02226,0.000462578,0.000462578,0.000462578
23,29.0298,1.48018,1.38445,0.00967,0.02934,0.23571,0.03307,0.02082,2.2634,4.79875,0.02047,0.000454844,0.000454844,0.000454844
24,30.1454,1.41885,1.76201,0.00988,0.04015,0.20714,0.06525,0.02965,2.25026,4.9603,0.02066,0.000447109,0.000447109,0.000447109
25,31.2624,1.57811,1.66869,0.00775,0.34559,0.03571,0.01835,0.01525,2.23352,5.34515,0.02182,0.000439375,0.000439375,0.000439375
26,32.4626,1.41447,1.42288,0.01028,0.3501,0.03571,0.04593,0.01684,2.26279,5.22594,0.02133,0.000431641,0.000431641,0.000431641
27,33.6674,1.39606,1.37554,0.00708,0.49622,0.03571,0.02334,0.01353,2.2222,4.90752,0.02193,0.000423906,0.000423906,0.000423906
28,34.9112,1.4239,1.31066,0.0064,0.49805,0.03571,0.02092,0.01392,2.30649,4.96691,0.0217,0.000416172,0.000416172,0.000416172
29,36.0268,1.35834,1.38044,0.0091,0.4973,0.03571,0.0217,0.01711,2.12731,4.92126,0.02057,0.000408438,0.000408438,0.000408438
30,37.1748,1.26242,1.10649,0.00671,0.49662,0.03571,0.01909,0.01483,2.22506,4.83852,0.02204,0.000400703,0.000400703,0.000400703
