epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.54138,1.5563,5.60862,0.00763,0.07345,0.20714,0.05173,0.03866,1.2116,6.21184,0.00866,0.000625,0.000625,0.000625
2,2.88461,1.79298,6.6727,0.0101,0.65902,0.17143,0.14914,0.10329,1.26735,6.01357,0.01009,0.000617266,0.000617266,0.000617266
3,4.21164,1.82816,5.00868,0.00757,0.14464,0.05714,0.00282,0.00149,1.5654,5.72386,0.01524,0.000609531,0.000609531,0.000609531
4,5.39188,1.95426,4.42526,0.00902,0.7541,0.02857,0.01213,0.00323,1.96649,5.23576,0.01791,0.000601797,0.000601797,0.000601797
5,6.62896,1.89236,3.47207,0.01034,0.34553,0.09286,0.06558,0.03301,2.31012,5.32974,0.02169,0.000594062,0.000594062,0.000594062
6,7.83993,1.704,3.54493,0.00788,0.65605,0.06429,0.0406,0.02291,2.02636,5.5475,0.01855,0.000586328,0.000586328,0.000586328
7,9.00874,1.70005,3.04117,0.00931,0.69565,0.03571,0.03961,0.02003,1.87453,5.00072,0.01614,0.000578594,0.000578594,0.000578594
8,10.3853,1.96088,3.26017,0.00895,0.64047,0.04759,0.02081,0.00503,1.95268,4.80798,0.01802,0.000570859,0.000570859,0.000570859
9,11.5392,1.83288,2.78137,0.01403,0.00499,0.06429,0.0018,0.00022,2.09629,4.71026,0.01698,0.000563125,0.000563125,0.000563125
10,12.7235,1.58951,2.68179,0.00858,0.00449,0.09286,0.00221,0.00128,2.29374,5.23673,0.02176,0.000555391,0.000555391,0.000555391
11,13.892,1.49248,2.42195,0.00828,0.00321,0.09286,0.00508,0.00377,1.87193,5.3616,0.01773,0.000547656,0.000547656,0.000547656
12,15.1628,1.56287,2.22941,0.00841,0.03496,0.30714,0.06028,0.02885,1.94952,4.85405,0.01546,0.000539922,0.000539922,0.000539922
13,16.3228,1.78755,2.73052,0.00998,0.60149,0.07143,0.04309,0.02284,2.09682,4.09993,0.01654,0.000532187,0.000532187,0.000532187
14,17.5059,1.64127,1.98174,0.00749,0.60329,0.07143,0.02815,0.01919,1.88858,4.09338,0.01621,0.000524453,0.000524453,0.000524453
