epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.18006,1.34446,3.88715,0.00979,0.09931,0.35,0.25006,0.20296,0.81843,3.91523,0.00673,0.000625,0.000625,0.000625
2,2.02256,1.671,3.37047,0.01139,0.91456,0.1,0.17193,0.10789,1.41876,3.61188,0.01578,0.000617266,0.000617266,0.000617266
3,2.97929,2.05879,3.28841,0.01402,0.89517,0.1,0.13313,0.07507,1.74541,3.69328,0.01741,0.000609531,0.000609531,0.000609531
4,4.03914,1.88202,2.54011,0.01263,0.48945,0.10746,0.10833,0.04156,2.25136,6.19571,0.02496,0.000601797,0.000601797,0.000601797
5,4.99548,1.83706,2.41,0.01068,0.57143,0.06916,0.07531,0.04768,2.26387,9.89154,0.0245,0.000594062,0.000594062,0.000594062
6,5.93582,1.83295,2.17261,0.01074,0.54881,0.03571,0.03785,0.0186,2.59455,10.0057,0.03219,0.000586328,0.000586328,0.000586328
7,6.96361,1.75909,2.16686,0.01338,0.00456,0.23571,0.00288,0.00119,2.45807,9.21396,0.02694,0.000578594,0.000578594,0.000578594
8,8.00262,1.65109,2.13117,0.00984,0.14739,0.05714,0.00468,0.00189,2.47005,7.00007,0.03128,0.000570859,0.000570859,0.000570859
9,9.052,1.56165,1.69376,0.01051,0.43947,0.05714,0.00904,0.00257,2.37969,5.36111,0.03105,0.000563125,0.000563125,0.000563125
10,10.022,1.55774,2.00056,0.01278,0.6038,0.05714,0.01945,0.00575,2.29791,5.83217,0.0289,0.000555391,0.000555391,0.000555391
11,11.1005,1.62327,1.94464,0.01078,0.5771,0.02857,0.00598,0.00405,1.98576,5.45813,0.02711,0.000547656,0.000547656,0.000547656
12,12.064,1.58683,1.7327,0.01082,0.61666,0.06033,0.02396,0.01713,2.1395,4.6876,0.02312,0.000539922,0.000539922,0.000539922
13,13.0331,1.6087,1.7596,0.0091,0.63877,0.03571,0.04332,0.03074,2.19888,4.17175,0.02266,0.000532187,0.000532187,0.000532187
14,13.9726,1.56813,1.63255,0.01075,0.67,0.03571,0.04369,0.0277,2.18488,3.95979,0.02296,0.000524453,0.000524453,0.000524453
15,14.9453,1.31667,1.32145,0.00738,0.6545,0.09286,0.05742,0.0225,2.37758,4.26016,0.02528,0.000516719,0.000516719,0.000516719
16,15.9006,1.42155,1.34951,0.00687,0.3207,0.06429,0.01969,0.00912,2.24069,4.37181,0.02851,0.000508984,0.000508984,0.000508984
17,16.9656,1.60926,1.64724,0.01304,0.17182,0.06429,0.01027,0.00576,2.2866,4.55559,0.02484,0.00050125,0.00050125,0.00050125
18,17.9535,1.48033,1.44856,0.01133,0.31507,0.06429,0.01048,0.00605,2.23327,4.65431,0.0267,0.000493516,0.000493516,0.000493516
