epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.35817,1.37993,4.26456,0.00833,0.02017,0.24762,0.08535,0.04681,1.17211,3.94571,0.01014,0.000625,0.000625,0.000625
2,2.49545,1.80013,3.09246,0.01275,0.91782,0.02857,0.0238,0.00816,2.03408,5.69048,0.02376,0.000617266,0.000617266,0.000617266
3,3.53741,1.84343,2.50032,0.00946,0.29319,0.02857,0.00199,0.00099,2.52213,15.8696,0.03448,0.000609531,0.000609531,0.000609531
4,4.74017,1.79258,2.39036,0.01078,0.18202,0.12857,0.02283,0.01044,2.21196,10.4991,0.02546,0.000601797,0.000601797,0.000601797
5,5.7675,1.88107,2.21298,0.0126,0.67698,0.03571,0.05546,0.02838,2.72436,9.08263,0.0266,0.000594062,0.000594062,0.000594062
6,6.72337,1.73373,2.27486,0.01062,0.52221,0.06429,0.06008,0.02904,2.31264,4.99617,0.02093,0.000586328,0.000586328,0.000586328
7,7.67523,1.68014,1.93872,0.01228,0.02462,0.12857,0.02006,0.01029,2.05986,4.84156,0.01948,0.000578594,0.000578594,0.000578594
8,8.66012,1.74555,1.93844,0.00964,0.04046,0.1,0.01553,0.00611,2.40728,4.3451,0.02762,0.000570859,0.000570859,0.000570859
9,9.61776,1.66857,1.86807,0.01411,0.5146,0.09711,0.06363,0.03268,2.31564,3.67331,0.02552,0.000563125,0.000563125,0.000563125
10,10.5877,1.64258,1.83593,0.01033,0.70599,0.03571,0.04592,0.02679,2.48933,3.94191,0.02588,0.000555391,0.000555391,0.000555391
11,11.6628,1.58719,1.66849,0.0109,0.70872,0.03571,0.04641,0.03192,2.27964,4.48109,0.02734,0.000547656,0.000547656,0.000547656
12,12.6038,1.566,1.46933,0.0098,0.21362,0.07042,0.05658,0.0323,2.08406,5.08124,0.02541,0.000539922,0.000539922,0.000539922
13,13.5422,1.71256,1.82306,0.01331,0.40195,0.1,0.06301,0.0346,1.99748,4.24816,0.02225,0.000532187,0.000532187,0.000532187
14,14.5127,1.62916,1.4098,0.00985,0.52858,0.09286,0.0637,0.04261,1.91078,3.9224,0.02016,0.000524453,0.000524453,0.000524453
15,15.4618,1.50371,1.52769,0.01266,0.23357,0.09286,0.05779,0.03252,1.87879,3.84162,0.01844,0.000516719,0.000516719,0.000516719
16,16.4118,1.57913,1.37134,0.01007,0.30509,0.08929,0.06929,0.03299,1.96454,4.12213,0.023,0.000508984,0.000508984,0.000508984
17,17.4591,1.5489,1.39371,0.01028,0.36452,0.12462,0.06095,0.03132,1.99038,3.80924,0.02083,0.00050125,0.00050125,0.00050125
18,18.4179,1.42117,1.26114,0.00975,0.4269,0.09286,0.08548,0.04029,1.9242,4.16536,0.02185,0.000493516,0.000493516,0.000493516
