epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.164,1.32003,4.68423,0.00824,0.63819,0.14286,0.07194,0.07116,0.75211,3.80772,0.00591,0.001,0.001,0.001
2,1.98999,1.53801,3.93584,0.01019,0.89519,0.05714,0.02345,0.01656,1.83184,4.42186,0.01738,0.000987625,0.000987625,0.000987625
3,2.953,2.3126,3.15351,0.01897,0.4388,0.17143,0.02559,0.01215,2.65401,8.10786,0.03021,0.00097525,0.00097525,0.00097525
4,4.02704,2.33053,3.49796,0.01917,0.00066,0.03571,0.00078,0.00016,2.47864,4.8101,0.03305,0.000962875,0.000962875,0.000962875
5,4.98707,2.41962,3.27803,0.01666,0.3819,0.03571,0.03581,0.01303,2.79109,9.11548,0.03682,0.0009505,0.0009505,0.0009505
6,5.96728,2.52519,3.15383,0.01998,0.34704,0.03571,0.01765,0.00923,2.87561,13.3698,0.04407,0.000938125,0.000938125,0.000938125
7,6.9341,2.17215,2.81805,0.01756,0.46726,0.03571,0.01579,0.00363,2.87964,5.08552,0.03764,0.00092575,0.00092575,0.00092575
8,7.86203,2.45016,2.69611,0.0138,0.00206,0.21429,0.00356,0.00119,2.84981,5.93114,0.0353,0.000913375,0.000913375,0.000913375
9,8.82986,2.31441,2.71679,0.0156,0.0003,0.03571,0.00016,3e-05,3.34833,7.34544,0.04211,0.000901,0.000901,0.000901
10,9.86917,2.26178,2.70803,0.01785,0.00077,0.02857,0.00047,8e-05,2.96485,32.0338,0.03722,0.000888625,0.000888625,0.000888625
11,10.8411,2.14244,2.2297,0.01725,0,0,0,0,3.80068,839.353,0.0587,0.00087625,0.00087625,0.00087625
12,11.8118,2.21368,2.52089,0.01867,0,0,0,0,3.36699,540.196,0.04607,0.000863875,0.000863875,0.000863875
13,12.768,2.06862,2.42198,0.02133,0,0,0,0,3.23574,35.6642,0.04568,0.0008515,0.0008515,0.0008515
14,13.7353,1.89638,2.10621,0.01369,0,0,0,0,2.89285,16.9987,0.04617,0.000839125,0.000839125,0.000839125
15,14.7052,2.05022,2.31388,0.01602,0.00032,0.02857,7e-05,5e-05,2.87693,12.5965,0.03243,0.00082675,0.00082675,0.00082675
16,15.6522,1.96202,2.23655,0.01552,0.16233,0.06429,0.00524,0.00265,2.72481,10.1735,0.04144,0.000814375,0.000814375,0.000814375
17,16.6869,1.95057,1.87297,0.01248,0.01371,0.09286,0.00524,0.00315,2.55067,16.9779,0.03177,0.000802,0.000802,0.000802
18,17.6726,1.9883,2.17705,0.0152,0.43327,0.02857,0.00121,0.00049,2.48421,17.1531,0.0303,0.000789625,0.000789625,0.000789625
19,18.6261,2.12624,2.39938,0.01327,0.01365,0.20714,0.02464,0.006,2.62879,7.64366,0.02989,0.00077725,0.00077725,0.00077725
20,19.573,2.00132,1.8979,0.0152,0.49208,0.07143,0.05434,0.01511,2.7562,6.16289,0.0278,0.000764875,0.000764875,0.000764875
21,20.5063,1.89365,1.77181,0.01219,0.50519,0.07143,0.05389,0.01828,2.67,5.44338,0.03421,0.0007525,0.0007525,0.0007525
22,21.4479,1.80559,1.67802,0.01619,0.34716,0.06181,0.03102,0.00811,2.6565,4.82189,0.03728,0.000740125,0.000740125,0.000740125
23,22.5115,1.65962,1.46429,0.01375,0.33242,0.1,0.04509,0.00918,2.46416,5.21534,0.02769,0.00072775,0.00072775,0.00072775
24,23.4692,1.59786,1.44693,0.00996,0.0088,0.06429,0.00315,0.00036,2.6279,6.06906,0.03757,0.000715375,0.000715375,0.000715375
25,24.4325,1.98705,1.89481,0.01688,0.02236,0.07143,0.0202,0.00599,2.45264,5.28331,0.03552,0.000703,0.000703,0.000703
26,25.416,1.84697,1.62716,0.01562,0.01481,0.03571,0.00908,0.00494,2.47342,5.80441,0.03367,0.000690625,0.000690625,0.000690625
27,26.334,1.6503,1.46396,0.01107,0.04111,0.03571,0.01544,0.00761,2.3013,8.56735,0.02863,0.00067825,0.00067825,0.00067825
28,27.2792,1.80922,1.45948,0.01361,0.18308,0.03571,0.01696,0.01045,2.14938,7.00022,0.02602,0.000665875,0.000665875,0.000665875
29,28.2502,1.48398,1.38523,0.00787,0.39144,0.03571,0.04549,0.0371,2.22779,5.95042,0.02817,0.0006535,0.0006535,0.0006535
30,29.3128,1.57059,1.54019,0.01126,0.35261,0.03571,0.04542,0.03656,2.35678,4.86949,0.02911,0.000641125,0.000641125,0.000641125
31,30.296,1.54518,1.27925,0.00879,0.32837,0.03571,0.02333,0.01488,2.36393,5.32875,0.02986,0.00062875,0.00062875,0.00062875
32,31.2707,1.75329,1.28469,0.01282,0.18866,0.03571,0.02247,0.01234,2.35538,5.34613,0.02977,0.000616375,0.000616375,0.000616375
33,32.2102,1.56764,1.34977,0.01201,0.02824,0.09286,0.0123,0.00596,2.46403,5.69501,0.03105,0.000604,0.000604,0.000604
34,33.1879,1.47381,1.15764,0.01385,0.44962,0.02857,0.01236,0.00662,2.52806,7.10017,0.03268,0.000591625,0.000591625,0.000591625
