epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1.19243,2.00751,5.3979,0.00574,0.47311,0.14286,0.21321,0.20611,0.98207,4.93616,0.00353,0.00114,0.00038,0.00114,0.00038,0.00114,0.00038,0.00114,0.00038
2,2.31413,2.7331,5.43883,0.00603,0.6172,0.14286,0.21321,0.20611,1.01683,4.85725,0.00348,0.00113832,0.00037944,0.00113832,0.00037944,0.00113832,0.00037944,0.00113832,0.00037944
3,3.68687,2.47976,5.63214,0.00724,0.61767,0.14286,0.22018,0.21238,0.9595,4.60038,0.00318,0.00113664,0.000378881,0.00113664,0.000378881,0.00113664,0.000378881,0.00113664,0.000378881
4,4.87827,2.03438,4.46964,0.00451,0.53214,0.17143,0.24768,0.23541,0.94992,4.42607,0.00311,0.00113496,0.000378321,0.00113496,0.000378321,0.00113496,0.000378321,0.00113496,0.000378321
5,6.34633,2.36464,3.83881,0.0045,0.49594,0.34286,0.25424,0.24428,0.93542,4.14033,0.00301,0.00113328,0.000377762,0.00113328,0.000377762,0.00113328,0.000377762,0.00113328,0.000377762
6,7.59989,2.30683,3.37009,0.00512,0.4552,0.34286,0.25738,0.22677,1.00631,4.11519,0.00329,0.00113161,0.000377202,0.00113161,0.000377202,0.00113161,0.000377202,0.00113161,0.000377202
7,8.79483,1.83539,3.33728,0.00572,0.46752,0.40714,0.31572,0.27079,1.07133,4.04341,0.00373,0.00112993,0.000376642,0.00112993,0.000376642,0.00112993,0.000376642,0.00112993,0.000376642
8,10.0423,1.91156,3.4058,0.0067,0.69728,0.26429,0.24315,0.2032,1.13815,3.92392,0.00421,0.00112825,0.000376083,0.00112825,0.000376083,0.00112825,0.000376083,0.00112825,0.000376083
9,11.2275,2.10486,2.63078,0.0066,0.71963,0.26429,0.25578,0.19938,1.17831,3.83399,0.00459,0.00112657,0.000375523,0.00112657,0.000375523,0.00112657,0.000375523,0.00112657,0.000375523
10,12.4363,2.39497,3.08187,0.00538,0.71159,0.2264,0.25527,0.19799,1.17568,3.77038,0.00478,0.00112489,0.000374964,0.00112489,0.000374964,0.00112489,0.000374964,0.00112489,0.000374964
11,13.6292,2.38107,2.91052,0.00846,0.55957,0.19077,0.25445,0.18695,1.24717,3.77955,0.00543,0.00112321,0.000374404,0.00112321,0.000374404,0.00112321,0.000374404,0.00112321,0.000374404
12,14.8709,1.90416,2.85485,0.0065,0.92703,0.0903,0.23017,0.16678,1.30094,3.79613,0.00559,0.00112153,0.000373844,0.00112153,0.000373844,0.00112153,0.000373844,0.00112153,0.000373844
13,16.0422,2.23305,2.73919,0.00569,0.50937,0.17628,0.31348,0.22824,1.32399,3.71993,0.00604,0.00111985,0.000373285,0.00111985,0.000373285,0.00111985,0.000373285,0.00111985,0.000373285
14,17.2487,2.15423,2.57844,0.00702,0.57555,0.26028,0.3394,0.25439,1.33347,3.69097,0.00607,0.00111818,0.000372725,0.00111818,0.000372725,0.00111818,0.000372725,0.00111818,0.000372725
15,18.4675,1.93654,1.85131,0.00676,0.52785,0.33571,0.42387,0.32321,1.41374,3.67231,0.00648,0.0011165,0.000372166,0.0011165,0.000372166,0.0011165,0.000372166,0.0011165,0.000372166
16,19.7253,1.85364,1.91754,0.00642,0.76049,0.3,0.3727,0.2779,1.4423,3.59717,0.00666,0.00111482,0.000371606,0.00111482,0.000371606,0.00111482,0.000371606,0.00111482,0.000371606
17,20.9622,1.82459,2.07316,0.00504,0.78983,0.26429,0.44707,0.30276,1.44837,3.51433,0.00653,0.00111314,0.000371046,0.00111314,0.000371046,0.00111314,0.000371046,0.00111314,0.000371046
18,22.1786,1.93316,1.8985,0.00462,0.83169,0.26429,0.44707,0.30099,1.45181,3.52013,0.00654,0.00111146,0.000370487,0.00111146,0.000370487,0.00111146,0.000370487,0.00111146,0.000370487
19,23.4387,1.75681,1.87396,0.00546,0.84819,0.25943,0.45063,0.32162,1.42727,3.39933,0.00648,0.00110978,0.000369927,0.00110978,0.000369927,0.00110978,0.000369927,0.00110978,0.000369927
20,24.6899,2.02872,2.11146,0.00599,0.62254,0.26429,0.31562,0.24109,1.40012,3.55651,0.00622,0.0011081,0.000369368,0.0011081,0.000369368,0.0011081,0.000369368,0.0011081,0.000369368
21,25.8893,2.13263,1.99493,0.00424,0.60957,0.26429,0.31562,0.23157,1.3811,3.53834,0.00595,0.00110642,0.000368808,0.00110642,0.000368808,0.00110642,0.000368808,0.00110642,0.000368808
22,27.0936,1.92778,2.00707,0.00524,0.59824,0.26429,0.32155,0.23705,1.39554,3.48977,0.00565,0.00110475,0.000368248,0.00110475,0.000368248,0.00110475,0.000368248,0.00110475,0.000368248
23,28.4018,1.70739,1.77864,0.00565,0.54444,0.26429,0.31306,0.22574,1.38372,3.47782,0.00572,0.00110307,0.000367689,0.00110307,0.000367689,0.00110307,0.000367689,0.00110307,0.000367689
24,29.6111,1.63295,1.71265,0.00584,0.52538,0.26429,0.31116,0.24333,1.3798,3.46485,0.00574,0.00110139,0.000367129,0.00110139,0.000367129,0.00110139,0.000367129,0.00110139,0.000367129
25,30.8215,2.0287,1.80836,0.00437,0.5177,0.26429,0.29777,0.22263,1.39383,3.35255,0.0059,0.00109971,0.00036657,0.00109971,0.00036657,0.00109971,0.00036657,0.00109971,0.00036657
26,32.038,1.7539,1.76297,0.00502,0.68844,0.26429,0.30923,0.22758,1.37688,3.29552,0.00626,0.00109803,0.00036601,0.00109803,0.00036601,0.00109803,0.00036601,0.00109803,0.00036601
27,33.2365,1.93156,1.61049,0.00545,0.69975,0.27047,0.31251,0.23213,1.37531,3.25634,0.00637,0.00109635,0.00036545,0.00109635,0.00036545,0.00109635,0.00036545,0.00109635,0.00036545
28,34.4391,1.89508,1.83562,0.00461,0.69452,0.26667,0.31249,0.23162,1.4371,3.26081,0.00673,0.00109467,0.000364891,0.00109467,0.000364891,0.00109467,0.000364891,0.00109467,0.000364891
29,35.6714,1.96363,1.42842,0.00533,0.71423,0.26429,0.32151,0.23541,1.45554,3.23465,0.00685,0.00109299,0.000364331,0.00109299,0.000364331,0.00109299,0.000364331,0.00109299,0.000364331
30,36.8819,1.74306,1.3676,0.00377,0.63636,0.26429,0.31185,0.23245,1.44575,3.19265,0.00646,0.00109132,0.000363772,0.00109132,0.000363772,0.00109132,0.000363772,0.00109132,0.000363772
31,38.0971,1.72383,1.55128,0.00361,0.54024,0.26429,0.31286,0.23666,1.38698,3.13544,0.00619,0.00108964,0.000363212,0.00108964,0.000363212,0.00108964,0.000363212,0.00108964,0.000363212
32,39.2953,1.99815,1.48721,0.00481,0.67967,0.22857,0.31284,0.2379,1.37991,3.04955,0.00594,0.00108796,0.000362652,0.00108796,0.000362652,0.00108796,0.000362652,0.00108796,0.000362652
33,40.6357,2.05953,1.99178,0.00417,0.67403,0.22857,0.31329,0.24702,1.32959,2.96385,0.00573,0.00108628,0.000362093,0.00108628,0.000362093,0.00108628,0.000362093,0.00108628,0.000362093
34,41.8322,1.61854,1.22341,0.00479,0.67584,0.22857,0.31586,0.25112,1.29693,2.95891,0.0057,0.0010846,0.000361533,0.0010846,0.000361533,0.0010846,0.000361533,0.0010846,0.000361533
35,43.0472,1.98694,1.46606,0.00448,0.67456,0.22857,0.32838,0.25491,1.30534,2.93137,0.0057,0.00108292,0.000360974,0.00108292,0.000360974,0.00108292,0.000360974,0.00108292,0.000360974
36,44.2619,1.9538,1.66015,0.00527,0.94658,0.22857,0.32953,0.27686,1.25829,2.90281,0.00574,0.00108124,0.000360414,0.00108124,0.000360414,0.00108124,0.000360414,0.00108124,0.000360414
37,45.5027,1.97001,1.83777,0.00447,0.9491,0.22857,0.33055,0.27752,1.26569,2.83441,0.00567,0.00107956,0.000359854,0.00107956,0.000359854,0.00107956,0.000359854,0.00107956,0.000359854
38,46.704,1.87166,1.46704,0.00522,0.9569,0.22857,0.34354,0.28312,1.29557,2.76647,0.0059,0.00107788,0.000359295,0.00107788,0.000359295,0.00107788,0.000359295,0.00107788,0.000359295
39,47.9248,1.76061,1.8361,0.00577,0.97174,0.22857,0.34737,0.2928,1.28795,2.77289,0.00588,0.00107621,0.000358735,0.00107621,0.000358735,0.00107621,0.000358735,0.00107621,0.000358735
40,49.2089,1.7571,1.41514,0.00471,0.98887,0.22315,0.35129,0.29093,1.29358,2.75114,0.00581,0.00107453,0.000358176,0.00107453,0.000358176,0.00107453,0.000358176,0.00107453,0.000358176
41,50.4362,1.8038,1.81626,0.00415,0.99186,0.21518,0.3544,0.29532,1.25748,2.73931,0.00539,0.00107285,0.000357616,0.00107285,0.000357616,0.00107285,0.000357616,0.00107285,0.000357616
42,51.6618,1.89488,1.4039,0.00459,0.99299,0.21793,0.34714,0.28443,1.25341,2.72036,0.00554,0.00107117,0.000357057,0.00107117,0.000357057,0.00107117,0.000357057,0.00107117,0.000357057
43,52.8602,1.92154,1.41734,0.00512,0.98897,0.22857,0.37918,0.30659,1.25971,2.65487,0.00546,0.00106949,0.000356497,0.00106949,0.000356497,0.00106949,0.000356497,0.00106949,0.000356497
44,54.041,1.88912,1.38357,0.00368,0.98529,0.22857,0.39014,0.31913,1.24471,2.65659,0.00535,0.00106781,0.000355937,0.00106781,0.000355937,0.00106781,0.000355937,0.00106781,0.000355937
