epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1.16712,2.21397,5.88615,0.00627,0.63942,0.14286,0.07172,0.06403,0.99863,4.92613,0.00395,0.00114,0.00038,0.00114,0.00038,0.00114,0.00038,0.00114,0.00038
2,2.2756,2.21178,5.94695,0.00612,0.63975,0.14286,0.07173,0.06403,1.02228,4.87962,0.00384,0.00113832,0.00037944,0.00113832,0.00037944,0.00113832,0.00037944,0.00113832,0.00037944
3,3.45774,1.87996,5.19627,0.00437,0.63802,0.14286,0.07728,0.07548,1.0358,4.65166,0.00394,0.00113664,0.000378881,0.00113664,0.000378881,0.00113664,0.000378881,0.00113664,0.000378881
4,4.61293,2.43906,4.81357,0.00703,0.65633,0.17143,0.08274,0.07993,1.00444,4.47076,0.00389,0.00113496,0.000378321,0.00113496,0.000378321,0.00113496,0.000378321,0.00113496,0.000378321
5,5.92194,2.50234,4.63386,0.00686,0.65295,0.2,0.10486,0.09571,1.05951,4.46583,0.00409,0.00113328,0.000377762,0.00113328,0.000377762,0.00113328,0.000377762,0.00113328,0.000377762
6,7.10494,1.94052,3.92686,0.00636,0.19818,0.22857,0.10503,0.09705,1.06543,4.86121,0.0043,0.00113161,0.000377202,0.00113161,0.000377202,0.00113161,0.000377202,0.00113161,0.000377202
7,8.36295,2.11426,3.59801,0.00583,0.46548,0.14101,0.11044,0.09901,1.10999,4.58164,0.00453,0.00112993,0.000376642,0.00112993,0.000376642,0.00112993,0.000376642,0.00112993,0.000376642
8,9.61024,2.15865,3.9176,0.00732,0.44716,0.09113,0.12293,0.11382,1.14812,4.07075,0.00456,0.00112825,0.000376083,0.00112825,0.000376083,0.00112825,0.000376083,0.00112825,0.000376083
9,10.8552,2.02251,3.23367,0.00745,0.99452,0.05714,0.15403,0.14107,1.17615,3.61211,0.00449,0.00112657,0.000375523,0.00112657,0.000375523,0.00112657,0.000375523,0.00112657,0.000375523
10,12.064,2.1073,2.60885,0.00569,0.50952,0.12143,0.15651,0.14046,1.21075,3.50711,0.00443,0.00112489,0.000374964,0.00112489,0.000374964,0.00112489,0.000374964,0.00112489,0.000374964
11,13.2649,2.16279,2.85898,0.00635,0.53688,0.09286,0.18274,0.16475,1.27032,3.55505,0.00457,0.00112321,0.000374404,0.00112321,0.000374404,0.00112321,0.000374404,0.00112321,0.000374404
12,14.5,1.88781,2.64538,0.00512,0.96466,0.08981,0.25946,0.22982,1.35805,3.46099,0.00492,0.00112153,0.000373844,0.00112153,0.000373844,0.00112153,0.000373844,0.00112153,0.000373844
13,15.8213,2.04751,2.58234,0.00708,0.62694,0.3,0.33922,0.29382,1.35815,3.30374,0.00502,0.00111985,0.000373285,0.00111985,0.000373285,0.00111985,0.000373285,0.00111985,0.000373285
14,17.1372,1.98871,2.75597,0.00525,0.64895,0.27143,0.34393,0.2892,1.37342,3.15459,0.0052,0.00111818,0.000372725,0.00111818,0.000372725,0.00111818,0.000372725,0.00111818,0.000372725
15,18.3188,2.11983,2.32406,0.00821,0.86003,0.24851,0.34774,0.29127,1.33331,3.03329,0.00509,0.0011165,0.000372166,0.0011165,0.000372166,0.0011165,0.000372166,0.0011165,0.000372166
16,19.5198,1.94182,2.44221,0.00567,0.92723,0.23571,0.34452,0.29004,1.33062,3.03873,0.00514,0.00111482,0.000371606,0.00111482,0.000371606,0.00111482,0.000371606,0.00111482,0.000371606
17,20.7249,2.00751,2.32128,0.00595,0.97579,0.24525,0.35574,0.28973,1.32342,3.05425,0.00526,0.00111314,0.000371046,0.00111314,0.000371046,0.00111314,0.000371046,0.00111314,0.000371046
18,21.9212,2.03335,2.39808,0.00603,0.96975,0.23571,0.42636,0.36236,1.31035,3.0953,0.00516,0.00111146,0.000370487,0.00111146,0.000370487,0.00111146,0.000370487,0.00111146,0.000370487
19,23.1522,1.83516,2.36709,0.0054,0.95945,0.23571,0.35953,0.29788,1.30214,3.13515,0.0051,0.00110978,0.000369927,0.00110978,0.000369927,0.00110978,0.000369927,0.00110978,0.000369927
20,24.3658,1.9029,1.80333,0.00576,0.96466,0.23571,0.34988,0.29073,1.33398,3.18911,0.00533,0.0011081,0.000369368,0.0011081,0.000369368,0.0011081,0.000369368,0.0011081,0.000369368
21,25.5822,1.79437,1.83712,0.00525,0.98029,0.24737,0.36081,0.29524,1.35328,3.21273,0.00537,0.00110642,0.000368808,0.00110642,0.000368808,0.00110642,0.000368808,0.00110642,0.000368808
22,26.7739,1.83012,1.67358,0.0037,0.96424,0.2503,0.3641,0.29889,1.30318,3.2113,0.00521,0.00110475,0.000368248,0.00110475,0.000368248,0.00110475,0.000368248,0.00110475,0.000368248
23,28.0492,1.97124,1.97062,0.00422,0.80723,0.25822,0.37733,0.30437,1.23271,3.2075,0.00479,0.00110307,0.000367689,0.00110307,0.000367689,0.00110307,0.000367689,0.00110307,0.000367689
24,29.2303,1.93104,1.6729,0.00558,0.80839,0.26304,0.43866,0.35572,1.1866,3.27323,0.00462,0.00110139,0.000367129,0.00110139,0.000367129,0.00110139,0.000367129,0.00110139,0.000367129
25,30.4346,1.93053,1.49987,0.00713,0.81483,0.26015,0.29847,0.23629,1.16291,3.33173,0.00479,0.00109971,0.00036657,0.00109971,0.00036657,0.00109971,0.00036657,0.00109971,0.00036657
26,31.6362,1.81478,1.87465,0.00359,0.82334,0.25895,0.29863,0.23268,1.19041,3.36264,0.00497,0.00109803,0.00036601,0.00109803,0.00036601,0.00109803,0.00036601,0.00109803,0.00036601
27,32.8439,2.01677,1.7959,0.00441,0.99086,0.25885,0.29299,0.2292,1.29392,3.38619,0.00537,0.00109635,0.00036545,0.00109635,0.00036545,0.00109635,0.00036545,0.00109635,0.00036545
