epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1.32253,2.39685,10.2633,0.00547,0.33191,0.28571,0.08165,0.06956,1.16321,8.55614,0.00329,0.00114,0.00038,0.00114,0.00038,0.00114,0.00038,0.00114,0.00038
2,2.68437,3.08819,8.48076,0.00448,0.20725,0.29208,0.1066,0.09814,1.12672,7.78054,0.00284,0.00113832,0.00037944,0.00113832,0.00037944,0.00113832,0.00037944,0.00113832,0.00037944
3,4.09727,2.60312,10.0126,0.00571,0.4263,0.17143,0.12388,0.11223,1.14929,7.22988,0.00282,0.00113664,0.000378881,0.00113664,0.000378881,0.00113664,0.000378881,0.00113664,0.000378881
4,5.60766,2.42488,7.62251,0.0041,0.40574,0.17143,0.09217,0.08176,1.08079,6.1679,0.00299,0.00113496,0.000378321,0.00113496,0.000378321,0.00113496,0.000378321,0.00113496,0.000378321
5,7.09837,2.64363,6.89733,0.00389,0.04849,0.17143,0.11378,0.10228,1.16369,5.57066,0.00331,0.00113328,0.000377762,0.00113328,0.000377762,0.00113328,0.000377762,0.00113328,0.000377762
6,8.72221,2.56224,6.88455,0.00495,0.02615,0.4619,0.09277,0.08443,1.18603,5.02474,0.00319,0.00113161,0.000377202,0.00113161,0.000377202,0.00113161,0.000377202,0.00113161,0.000377202
7,10.1884,2.01236,6.34921,0.00544,0.76614,0.05714,0.08879,0.07905,1.24538,4.71702,0.00326,0.00112993,0.000376642,0.00112993,0.000376642,0.00112993,0.000376642,0.00112993,0.000376642
8,11.6143,2.30859,6.38893,0.00537,0.79587,0.05714,0.11216,0.09726,1.26983,4.42427,0.00335,0.00112825,0.000376083,0.00112825,0.000376083,0.00112825,0.000376083,0.00112825,0.000376083
9,13.0907,2.35966,4.86752,0.00527,0.85059,0.05714,0.1268,0.11177,1.2539,4.24199,0.00353,0.00112657,0.000375523,0.00112657,0.000375523,0.00112657,0.000375523,0.00112657,0.000375523
10,14.8198,2.90266,5.24969,0.00442,0.67979,0.12857,0.15222,0.13288,1.27602,4.17051,0.00368,0.00112489,0.000374964,0.00112489,0.000374964,0.00112489,0.000374964,0.00112489,0.000374964
11,16.3625,2.43454,5.10247,0.00753,0.68828,0.12857,0.13766,0.11879,1.39114,4.06328,0.00418,0.00112321,0.000374404,0.00112321,0.000374404,0.00112321,0.000374404,0.00112321,0.000374404
12,17.7964,2.23987,4.87992,0.00603,0.68573,0.12857,0.11819,0.10563,1.42467,4.25656,0.00458,0.00112153,0.000373844,0.00112153,0.000373844,0.00112153,0.000373844,0.00112153,0.000373844
13,19.2297,2.47559,4.50301,0.0047,0.68342,0.12857,0.13207,0.11781,1.49074,4.43319,0.00501,0.00111985,0.000373285,0.00111985,0.000373285,0.00111985,0.000373285,0.00111985,0.000373285
14,20.6324,2.3858,4.37516,0.00618,0.53889,0.12857,0.13562,0.11825,1.47593,4.37184,0.0047,0.00111818,0.000372725,0.00111818,0.000372725,0.00111818,0.000372725,0.00111818,0.000372725
15,22.1888,2.16798,3.50487,0.00603,0.60234,0.12646,0.15374,0.13193,1.59099,4.26408,0.00609,0.0011165,0.000372166,0.0011165,0.000372166,0.0011165,0.000372166,0.0011165,0.000372166
16,23.6543,1.93902,3.54925,0.00575,0.54089,0.12857,0.14385,0.12162,1.63305,4.02782,0.00628,0.00111482,0.000371606,0.00111482,0.000371606,0.00111482,0.000371606,0.00111482,0.000371606
17,25.2935,2.31347,3.64701,0.00416,0.6157,0.12547,0.15377,0.12953,1.60314,3.87876,0.0059,0.00111314,0.000371046,0.00111314,0.000371046,0.00111314,0.000371046,0.00111314,0.000371046
18,26.7002,2.09176,3.50621,0.00386,0.77342,0.12857,0.17544,0.13946,1.5756,3.73349,0.00604,0.00111146,0.000370487,0.00111146,0.000370487,0.00111146,0.000370487,0.00111146,0.000370487
19,28.1775,1.99323,3.44827,0.00541,0.42387,0.17734,0.22096,0.17823,1.61254,3.71963,0.00586,0.00110978,0.000369927,0.00110978,0.000369927,0.00110978,0.000369927,0.00110978,0.000369927
20,29.733,2.25757,3.64552,0.0057,0.77792,0.12857,0.22146,0.17964,1.54151,3.69594,0.00592,0.0011081,0.000369368,0.0011081,0.000369368,0.0011081,0.000369368,0.0011081,0.000369368
21,31.2558,2.55067,3.35611,0.00378,0.27794,0.36218,0.23274,0.18282,1.65787,3.62421,0.0061,0.00110642,0.000368808,0.00110642,0.000368808,0.00110642,0.000368808,0.00110642,0.000368808
22,32.8228,2.17907,3.31315,0.00408,0.63695,0.27143,0.23504,0.18526,1.62289,3.59206,0.00596,0.00110475,0.000368248,0.00110475,0.000368248,0.00110475,0.000368248,0.00110475,0.000368248
23,34.3685,2.08636,3.09609,0.00456,0.65569,0.27143,0.25289,0.20507,1.63566,3.55843,0.00586,0.00110307,0.000367689,0.00110307,0.000367689,0.00110307,0.000367689,0.00110307,0.000367689
24,35.8648,1.79212,3.02757,0.00531,0.50956,0.27143,0.22384,0.18525,1.5129,3.68142,0.00435,0.00110139,0.000367129,0.00110139,0.000367129,0.00110139,0.000367129,0.00110139,0.000367129
25,37.3681,2.56702,3.32182,0.00343,0.51582,0.28618,0.31212,0.25082,1.57035,3.77112,0.00494,0.00109971,0.00036657,0.00109971,0.00036657,0.00109971,0.00036657,0.00109971,0.00036657
