epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1.36382,2.52569,8.14627,0.00521,0.36425,0.15552,0.17066,0.14233,1.25065,8.48293,0.00383,0.00114,0.00038,0.00114,0.00038,0.00114,0.00038,0.00114,0.00038
2,2.47762,2.36202,11.3175,0.00511,0.29177,0.24286,0.14595,0.12712,1.20963,8.21313,0.00325,0.00113832,0.00037944,0.00113832,0.00037944,0.00113832,0.00037944,0.00113832,0.00037944
3,4.09053,2.31023,7.27537,0.00389,0.08649,0.24286,0.16126,0.14632,1.23927,7.46947,0.0037,0.00113664,0.000378881,0.00113664,0.000378881,0.00113664,0.000378881,0.00113664,0.000378881
4,5.63086,2.92399,8.36045,0.00575,0.34909,0.17143,0.17115,0.15444,1.22291,6.67915,0.00371,0.00113496,0.000378321,0.00113496,0.000378321,0.00113496,0.000378321,0.00113496,0.000378321
5,7.07578,2.94011,7.39851,0.00571,0.32197,0.2,0.14931,0.13464,1.23796,5.79714,0.00377,0.00113328,0.000377762,0.00113328,0.000377762,0.00113328,0.000377762,0.00113328,0.000377762
6,8.51552,2.07555,7.15609,0.00552,0.85323,0.05714,0.15136,0.13773,1.28297,5.20106,0.00403,0.00113161,0.000377202,0.00113161,0.000377202,0.00113161,0.000377202,0.00113161,0.000377202
7,10.0087,2.44795,6.22092,0.00482,0.99604,0.05714,0.09902,0.08959,1.30237,4.83633,0.0041,0.00112993,0.000376642,0.00112993,0.000376642,0.00112993,0.000376642,0.00112993,0.000376642
8,11.4975,2.35623,6.97957,0.00659,0.9938,0.05714,0.14862,0.1246,1.30176,4.58041,0.00427,0.00112825,0.000376083,0.00112825,0.000376083,0.00112825,0.000376083,0.00112825,0.000376083
9,13.0228,2.16686,5.32296,0.00668,0.99145,0.05714,0.17264,0.14667,1.31211,4.36814,0.00419,0.00112657,0.000375523,0.00112657,0.000375523,0.00112657,0.000375523,0.00112657,0.000375523
10,14.4974,2.32912,4.44801,0.00497,0.98977,0.05714,0.15443,0.12845,1.35635,4.18205,0.00448,0.00112489,0.000374964,0.00112489,0.000374964,0.00112489,0.000374964,0.00112489,0.000374964
11,15.9359,2.39693,4.53719,0.00514,0.85473,0.09286,0.14512,0.12203,1.36417,3.99998,0.00441,0.00112321,0.000374404,0.00112321,0.000374404,0.00112321,0.000374404,0.00112321,0.000374404
12,17.4324,2.12428,4.17075,0.00419,0.90832,0.09286,0.15517,0.12828,1.40769,3.76102,0.00407,0.00112153,0.000373844,0.00112153,0.000373844,0.00112153,0.000373844,0.00112153,0.000373844
13,18.8748,2.24623,4.32137,0.00623,0.98068,0.09286,0.16503,0.13682,1.49046,3.68567,0.00484,0.00111985,0.000373285,0.00111985,0.000373285,0.00111985,0.000373285,0.00111985,0.000373285
14,20.421,2.18722,4.8638,0.00536,0.74575,0.12332,0.17276,0.14082,1.54455,3.65726,0.00513,0.00111818,0.000372725,0.00111818,0.000372725,0.00111818,0.000372725,0.00111818,0.000372725
15,21.8375,2.38436,4.28643,0.00653,0.77516,0.12849,0.18648,0.15516,1.55121,3.62665,0.0049,0.0011165,0.000372166,0.0011165,0.000372166,0.0011165,0.000372166,0.0011165,0.000372166
16,23.286,2.28782,3.93977,0.00518,0.60288,0.24842,0.21082,0.16935,1.50096,3.63105,0.00487,0.00111482,0.000371606,0.00111482,0.000371606,0.00111482,0.000371606,0.00111482,0.000371606
17,24.8636,2.15388,3.74326,0.0057,0.98825,0.12806,0.22194,0.17662,1.48838,3.64496,0.0048,0.00111314,0.000371046,0.00111314,0.000371046,0.00111314,0.000371046,0.00111314,0.000371046
18,26.4533,2.11762,3.9169,0.00479,0.9453,0.12857,0.21877,0.17402,1.54687,3.55985,0.00536,0.00111146,0.000370487,0.00111146,0.000370487,0.00111146,0.000370487,0.00111146,0.000370487
19,28.0069,2.19554,3.81884,0.00445,0.94479,0.12857,0.29186,0.23479,1.56103,3.58808,0.005,0.00110978,0.000369927,0.00110978,0.000369927,0.00110978,0.000369927,0.00110978,0.000369927
20,29.4885,2.09876,3.42452,0.0044,0.99884,0.12565,0.29246,0.23432,1.54093,3.78168,0.00459,0.0011081,0.000369368,0.0011081,0.000369368,0.0011081,0.000369368,0.0011081,0.000369368
21,30.9092,2.03484,3.07995,0.00497,0.93927,0.11913,0.27901,0.22507,1.57632,3.87151,0.00465,0.00110642,0.000368808,0.00110642,0.000368808,0.00110642,0.000368808,0.00110642,0.000368808
22,32.3195,2.12821,2.96698,0.00323,0.85003,0.12857,0.26851,0.22139,1.57346,3.86441,0.00475,0.00110475,0.000368248,0.00110475,0.000368248,0.00110475,0.000368248,0.00110475,0.000368248
23,33.9415,2.30157,3.30155,0.00358,0.64025,0.27143,0.27644,0.22844,1.57446,3.78525,0.0048,0.00110307,0.000367689,0.00110307,0.000367689,0.00110307,0.000367689,0.00110307,0.000367689
24,35.3786,2.20574,3.12882,0.00477,0.8437,0.25607,0.28402,0.23251,1.56731,3.73583,0.00498,0.00110139,0.000367129,0.00110139,0.000367129,0.00110139,0.000367129,0.00110139,0.000367129
25,36.9071,2.30815,2.7063,0.00645,0.90549,0.23571,0.29261,0.22901,1.55212,3.73202,0.00446,0.00109971,0.00036657,0.00109971,0.00036657,0.00109971,0.00036657,0.00109971,0.00036657
26,38.3237,2.44974,3.02647,0.00321,0.94777,0.23571,0.31857,0.2422,1.5758,3.82003,0.00454,0.00109803,0.00036601,0.00109803,0.00036601,0.00109803,0.00036601,0.00109803,0.00036601
27,39.7598,2.40142,3.02016,0.00368,0.95676,0.23571,0.294,0.2226,1.65666,3.6911,0.00501,0.00109635,0.00036545,0.00109635,0.00036545,0.00109635,0.00036545,0.00109635,0.00036545
