epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1.76844,2.2599,5.80861,0.00676,0.63926,0.14286,0.0717,0.06403,0.99049,4.89373,0.00375,0.00114,0.00038,0.00114,0.00038,0.00114,0.00038,0.00114,0.00038
2,3.08523,2.48388,5.54166,0.00653,0.63908,0.14286,0.07107,0.06396,1.00158,4.78753,0.00387,0.00113832,0.00037944,0.00113832,0.00037944,0.00113832,0.00037944,0.00113832,0.00037944
3,4.40503,2.17507,5.20095,0.00587,0.63797,0.14286,0.07676,0.06831,1.02237,4.62799,0.00401,0.00113664,0.000378881,0.00113664,0.000378881,0.00113664,0.000378881,0.00113664,0.000378881
4,5.79951,2.05021,4.96459,0.00503,0.65544,0.17143,0.08713,0.08264,0.99729,4.42731,0.00383,0.00113496,0.000378321,0.00113496,0.000378321,0.00113496,0.000378321,0.00113496,0.000378321
5,7.31928,1.99751,4.06329,0.00847,0.6571,0.22857,0.12266,0.11023,1.0408,4.24199,0.0042,0.00113328,0.000377762,0.00113328,0.000377762,0.00113328,0.000377762,0.00113328,0.000377762
6,8.69704,1.96648,3.30894,0.00465,0.61823,0.2631,0.15312,0.12843,1.11567,4.30842,0.0045,0.00113161,0.000377202,0.00113161,0.000377202,0.00113161,0.000377202,0.00113161,0.000377202
7,10.1052,2.17476,3.49558,0.0064,0.57119,0.21046,0.17728,0.14501,1.1464,3.971,0.00458,0.00112993,0.000376642,0.00112993,0.000376642,0.00112993,0.000376642,0.00112993,0.000376642
8,11.5046,1.79807,4.22999,0.00397,0.55144,0.19156,0.18499,0.15612,1.15454,3.54356,0.00451,0.00112825,0.000376083,0.00112825,0.000376083,0.00112825,0.000376083,0.00112825,0.000376083
9,12.8835,1.81882,3.07321,0.00536,0.9707,0.09169,0.22,0.17755,1.1504,3.47994,0.00441,0.00112657,0.000375523,0.00112657,0.000375523,0.00112657,0.000375523,0.00112657,0.000375523
10,14.2254,2.01083,2.80146,0.00507,0.84857,0.12371,0.2467,0.18559,1.16628,3.5201,0.00424,0.00112489,0.000374964,0.00112489,0.000374964,0.00112489,0.000374964,0.00112489,0.000374964
