epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1.45067,2.71915,5.86969,0.00953,0.99461,0.04762,0.1923,0.05997,2.07621,5.22348,0.01108,0.00114,0.00038,0.00114,0.00038,0.00114,0.00038,0.00114,0.00038
2,2.4396,2.77437,5.71479,0.00863,0.99466,0.04762,0.19,0.05833,2.07752,5.27554,0.01093,0.00113832,0.00037944,0.00113832,0.00037944,0.00113832,0.00037944,0.00113832,0.00037944
3,3.52952,2.93715,6.01143,0.00905,0.99475,0.04762,0.19,0.05779,2.18388,5.22351,0.01165,0.00113664,0.000378881,0.00113664,0.000378881,0.00113664,0.000378881,0.00113664,0.000378881
4,4.84245,2.74166,6.17278,0.00782,0.75355,0.04762,0.19,0.0577,2.17984,5.23326,0.01113,0.00113496,0.000378321,0.00113496,0.000378321,0.00113496,0.000378321,0.00113496,0.000378321
5,6.27593,2.46378,5.7325,0.00982,0.925,0.09524,0.23714,0.10161,2.21713,5.00571,0.01136,0.00113328,0.000377762,0.00113328,0.000377762,0.00113328,0.000377762,0.00113328,0.000377762
6,7.65754,2.6939,5.38811,0.00753,0.79386,0.09524,0.2222,0.08812,2.19131,4.93931,0.01106,0.00113161,0.000377202,0.00113161,0.000377202,0.00113161,0.000377202,0.00113161,0.000377202
7,8.99586,2.94166,5.25723,0.01002,0.79927,0.09524,0.2463,0.10866,2.20513,4.85899,0.01063,0.00112993,0.000376642,0.00112993,0.000376642,0.00112993,0.000376642,0.00112993,0.000376642
8,10.3327,2.84114,6.02373,0.00808,0.57492,0.19048,0.18028,0.05212,2.16862,4.73902,0.01028,0.00112825,0.000376083,0.00112825,0.000376083,0.00112825,0.000376083,0.00112825,0.000376083
9,11.6414,2.75268,4.93368,0.00949,0.10248,0.28333,0.17709,0.04382,2.17205,4.70657,0.01066,0.00112657,0.000375523,0.00112657,0.000375523,0.00112657,0.000375523,0.00112657,0.000375523
10,12.9192,2.57983,4.28991,0.00745,0.1288,0.28333,0.17449,0.04191,2.14046,4.67073,0.01024,0.00112489,0.000374964,0.00112489,0.000374964,0.00112489,0.000374964,0.00112489,0.000374964
11,14.208,2.82623,3.75233,0.00734,0.64631,0.07269,0.17192,0.03943,2.13329,4.52354,0.0107,0.00112321,0.000374404,0.00112321,0.000374404,0.00112321,0.000374404,0.00112321,0.000374404
12,15.5196,2.75642,3.79017,0.00841,0.00978,0.2119,0.0185,0.01466,2.15821,4.74859,0.01112,0.00112153,0.000373844,0.00112153,0.000373844,0.00112153,0.000373844,0.00112153,0.000373844
13,16.7972,2.69989,3.79866,0.01029,0.58124,0.02857,0.02217,0.01075,2.19231,4.62209,0.01197,0.00111985,0.000373285,0.00111985,0.000373285,0.00111985,0.000373285,0.00111985,0.000373285
