epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1.45522,2.70249,6.0726,0.01001,0.00433,0.14286,0.03554,0.01777,2.04424,5.35674,0.01054,0.00114,0.00038,0.00114,0.00038,0.00114,0.00038,0.00114,0.00038
2,2.30893,2.83771,6.36622,0.00863,0.00869,0.28571,0.05356,0.02678,1.94541,5.35663,0.0101,0.00113832,0.00037944,0.00113832,0.00037944,0.00113832,0.00037944,0.00113832,0.00037944
3,3.53412,2.99064,6.47158,0.00904,0.0051,0.14286,0.07107,0.03554,1.96428,5.43199,0.01019,0.00113664,0.000378881,0.00113664,0.000378881,0.00113664,0.000378881,0.00113664,0.000378881
4,4.7717,2.72398,6.24619,0.00786,0.00926,0.28571,0.15103,0.07551,1.86528,5.30652,0.00997,0.00113496,0.000378321,0.00113496,0.000378321,0.00113496,0.000378321,0.00113496,0.000378321
5,6.10382,2.61547,5.7351,0.01097,0.01088,0.32143,0.08866,0.04083,1.94468,5.18802,0.0102,0.00113328,0.000377762,0.00113328,0.000377762,0.00113328,0.000377762,0.00113328,0.000377762
6,7.37353,2.58452,5.73184,0.00713,0.01431,0.37857,0.03696,0.01796,1.97743,5.09523,0.01032,0.00113161,0.000377202,0.00113161,0.000377202,0.00113161,0.000377202,0.00113161,0.000377202
7,8.65666,2.88387,5.45804,0.00917,0.01388,0.37857,0.03129,0.01439,2.03727,5.03179,0.00978,0.00112993,0.000376642,0.00112993,0.000376642,0.00112993,0.000376642,0.00112993,0.000376642
8,9.93668,2.92007,6.16183,0.00911,0.01457,0.37857,0.07017,0.02189,2.13375,4.93731,0.01034,0.00112825,0.000376083,0.00112825,0.000376083,0.00112825,0.000376083,0.00112825,0.000376083
9,11.208,2.86459,5.0567,0.0094,0.48441,0.09286,0.06957,0.02156,2.12222,4.96473,0.01101,0.00112657,0.000375523,0.00112657,0.000375523,0.00112657,0.000375523,0.00112657,0.000375523
10,12.4603,2.59136,4.45303,0.00745,0.65948,0.06429,0.06046,0.0183,2.10864,4.93878,0.01075,0.00112489,0.000374964,0.00112489,0.000374964,0.00112489,0.000374964,0.00112489,0.000374964
11,13.8099,2.97253,3.67379,0.00782,0.00973,0.23571,0.06085,0.01891,2.17113,4.89468,0.01099,0.00112321,0.000374404,0.00112321,0.000374404,0.00112321,0.000374404,0.00112321,0.000374404
12,15.0668,2.6357,3.75293,0.00832,0.30238,0.09286,0.06103,0.0207,2.24411,4.82579,0.01126,0.00112153,0.000373844,0.00112153,0.000373844,0.00112153,0.000373844,0.00112153,0.000373844
13,16.3285,2.77862,3.43391,0.01024,0.67269,0.06429,0.08467,0.03887,2.16753,4.53246,0.01093,0.00111985,0.000373285,0.00111985,0.000373285,0.00111985,0.000373285,0.00111985,0.000373285
14,17.6126,2.88572,3.37741,0.00689,0.84577,0.09286,0.10915,0.05495,2.19782,4.28902,0.01077,0.00111818,0.000372725,0.00111818,0.000372725,0.00111818,0.000372725,0.00111818,0.000372725
15,18.8555,2.83139,3.76192,0.00807,0.89746,0.11107,0.14188,0.05421,2.28564,4.14699,0.0123,0.0011165,0.000372166,0.0011165,0.000372166,0.0011165,0.000372166,0.0011165,0.000372166
16,20.0979,2.47009,2.79306,0.0091,0.89635,0.09286,0.13206,0.05247,2.49368,4.27183,0.01299,0.00111482,0.000371606,0.00111482,0.000371606,0.00111482,0.000371606,0.00111482,0.000371606
17,21.3601,2.93258,3.71356,0.00988,0.94895,0.05714,0.07461,0.03589,2.59086,4.41992,0.01266,0.00111314,0.000371046,0.00111314,0.000371046,0.00111314,0.000371046,0.00111314,0.000371046
18,22.647,2.74444,3.05924,0.00902,0.53131,0.11532,0.11114,0.05025,2.52489,4.32525,0.01449,0.00111146,0.000370487,0.00111146,0.000370487,0.00111146,0.000370487,0.00111146,0.000370487
19,24.0347,2.57387,2.95903,0.00773,0.94821,0.05714,0.09898,0.04634,2.51031,4.31259,0.01456,0.00110978,0.000369927,0.00110978,0.000369927,0.00110978,0.000369927,0.00110978,0.000369927
20,25.3255,2.66463,3.05874,0.00954,0.6104,0.05714,0.10602,0.05564,2.3858,4.13909,0.01237,0.0011081,0.000369368,0.0011081,0.000369368,0.0011081,0.000369368,0.0011081,0.000369368
21,26.6062,2.42876,3.04299,0.00877,0.62873,0.10709,0.14587,0.06711,2.36823,4.20752,0.01286,0.00110642,0.000368808,0.00110642,0.000368808,0.00110642,0.000368808,0.00110642,0.000368808
22,27.9251,2.7271,2.99552,0.00823,0.63132,0.08993,0.14468,0.07118,2.34488,4.15636,0.01341,0.00110475,0.000368248,0.00110475,0.000368248,0.00110475,0.000368248,0.00110475,0.000368248
23,29.2093,2.58708,2.28054,0.00654,0.54464,0.06429,0.15483,0.06383,2.50391,4.25554,0.01416,0.00110307,0.000367689,0.00110307,0.000367689,0.00110307,0.000367689,0.00110307,0.000367689
24,30.4537,2.05444,2.12943,0.00596,0.52579,0.1,0.11165,0.04365,2.37469,4.31276,0.0133,0.00110139,0.000367129,0.00110139,0.000367129,0.00110139,0.000367129,0.00110139,0.000367129
25,31.7371,2.38064,2.60441,0.00775,0.53305,0.1,0.10227,0.04455,2.39678,4.40709,0.01296,0.00109971,0.00036657,0.00109971,0.00036657,0.00109971,0.00036657,0.00109971,0.00036657
26,33.0129,2.62305,2.35493,0.00615,0.90194,0.09466,0.11289,0.05209,2.50759,4.42937,0.01449,0.00109803,0.00036601,0.00109803,0.00036601,0.00109803,0.00036601,0.00109803,0.00036601
27,34.2615,2.3321,2.40831,0.0082,0.86881,0.09347,0.09875,0.04541,2.44904,4.46154,0.01286,0.00109635,0.00036545,0.00109635,0.00036545,0.00109635,0.00036545,0.00109635,0.00036545
28,35.6279,2.37513,2.44555,0.00547,0.90001,0.08625,0.09579,0.04224,2.24804,4.43604,0.0116,0.00109467,0.000364891,0.00109467,0.000364891,0.00109467,0.000364891,0.00109467,0.000364891
29,36.8983,2.50142,2.40283,0.00583,0.78317,0.06067,0.06353,0.03385,2.35165,4.40525,0.01244,0.00109299,0.000364331,0.00109299,0.000364331,0.00109299,0.000364331,0.00109299,0.000364331
30,38.1705,2.14818,2.24858,0.00597,0.79262,0.06161,0.06479,0.03495,2.31676,4.40959,0.01268,0.00109132,0.000363772,0.00109132,0.000363772,0.00109132,0.000363772,0.00109132,0.000363772
31,39.4832,2.53048,2.14375,0.00592,0.89044,0.06429,0.06131,0.03739,2.23056,4.522,0.01282,0.00108964,0.000363212,0.00108964,0.000363212,0.00108964,0.000363212,0.00108964,0.000363212
32,40.789,2.64932,2.48821,0.00739,0.91364,0.06429,0.0593,0.03586,2.18846,4.50721,0.01254,0.00108796,0.000362652,0.00108796,0.000362652,0.00108796,0.000362652,0.00108796,0.000362652
33,42.0383,2.2891,2.20759,0.00793,0.91595,0.06429,0.0877,0.0515,2.17703,4.53793,0.01206,0.00108628,0.000362093,0.00108628,0.000362093,0.00108628,0.000362093,0.00108628,0.000362093
34,43.2893,2.391,2.12724,0.0063,0.89157,0.06429,0.10061,0.06324,2.29669,4.4849,0.01207,0.0010846,0.000361533,0.0010846,0.000361533,0.0010846,0.000361533,0.0010846,0.000361533
35,44.5378,2.62301,2.12464,0.00654,0.85215,0.06429,0.1,0.0651,2.35935,4.29152,0.0126,0.00108292,0.000360974,0.00108292,0.000360974,0.00108292,0.000360974,0.00108292,0.000360974
36,45.8953,2.39867,2.36273,0.00717,0.63837,0.06429,0.08065,0.05145,2.44796,4.31557,0.01273,0.00108124,0.000360414,0.00108124,0.000360414,0.00108124,0.000360414,0.00108124,0.000360414
37,47.1311,2.33613,2.05059,0.0077,0.65093,0.06429,0.07828,0.04981,2.44082,4.28592,0.01251,0.00107956,0.000359854,0.00107956,0.000359854,0.00107956,0.000359854,0.00107956,0.000359854
38,48.4385,2.40698,2.30009,0.00935,0.81677,0.09286,0.07734,0.04993,2.50277,4.22775,0.01243,0.00107788,0.000359295,0.00107788,0.000359295,0.00107788,0.000359295,0.00107788,0.000359295
39,49.6954,2.26924,1.94816,0.00667,0.80589,0.06429,0.07023,0.04642,2.46532,4.21007,0.01255,0.00107621,0.000358735,0.00107621,0.000358735,0.00107621,0.000358735,0.00107621,0.000358735
40,50.9602,2.13646,1.97161,0.00647,0.86286,0.06429,0.0804,0.05832,2.58285,4.47873,0.01273,0.00107453,0.000358176,0.00107453,0.000358176,0.00107453,0.000358176,0.00107453,0.000358176
41,52.251,2.31684,1.91171,0.00686,0.89333,0.06429,0.08002,0.0565,2.54077,4.40355,0.0128,0.00107285,0.000357616,0.00107285,0.000357616,0.00107285,0.000357616,0.00107285,0.000357616
42,53.5709,2.36176,2.18938,0.00588,0.89845,0.06429,0.12222,0.08236,2.42595,4.20568,0.01236,0.00107117,0.000357057,0.00107117,0.000357057,0.00107117,0.000357057,0.00107117,0.000357057
43,54.8784,2.50995,2.3788,0.00572,0.95589,0.06429,0.09098,0.06284,2.36676,4.09435,0.01278,0.00106949,0.000356497,0.00106949,0.000356497,0.00106949,0.000356497,0.00106949,0.000356497
44,56.2108,2.42141,1.85549,0.00522,0.95507,0.06429,0.08793,0.06154,2.37374,4.0781,0.01194,0.00106781,0.000355937,0.00106781,0.000355937,0.00106781,0.000355937,0.00106781,0.000355937
45,57.4703,2.50667,2.21345,0.00747,0.82336,0.06429,0.07654,0.05482,2.35891,3.98516,0.0125,0.00106613,0.000355378,0.00106613,0.000355378,0.00106613,0.000355378,0.00106613,0.000355378
46,58.7765,2.64535,2.42105,0.00478,0.7768,0.06429,0.08474,0.05857,2.36887,3.88709,0.01189,0.00106445,0.000354818,0.00106445,0.000354818,0.00106445,0.000354818,0.00106445,0.000354818
47,60.0423,2.56783,2.23423,0.00851,0.68874,0.06429,0.06623,0.04314,2.33608,3.80833,0.01155,0.00106278,0.000354259,0.00106278,0.000354259,0.00106278,0.000354259,0.00106278,0.000354259
48,61.3095,2.50255,1.81609,0.00658,0.52119,0.06429,0.08816,0.05458,2.30112,3.8251,0.0116,0.0010611,0.000353699,0.0010611,0.000353699,0.0010611,0.000353699,0.0010611,0.000353699
49,62.6045,2.28934,1.89265,0.00879,0.48498,0.06429,0.0812,0.04342,2.2886,3.89766,0.01194,0.00105942,0.000353139,0.00105942,0.000353139,0.00105942,0.000353139,0.00105942,0.000353139
50,63.8727,2.48828,1.93855,0.00568,0.48753,0.09286,0.08822,0.04705,2.2929,4.10409,0.01214,0.00105774,0.00035258,0.00105774,0.00035258,0.00105774,0.00035258,0.00105774,0.00035258
51,65.0994,2.2278,1.8227,0.00616,0.3723,0.09286,0.08021,0.04129,2.27011,4.12509,0.01144,0.00105606,0.00035202,0.00105606,0.00035202,0.00105606,0.00035202,0.00105606,0.00035202
52,66.4433,2.43502,2.20752,0.00566,0.35632,0.09286,0.07626,0.04075,2.40457,4.10652,0.01228,0.00105438,0.000351461,0.00105438,0.000351461,0.00105438,0.000351461,0.00105438,0.000351461
53,67.6742,2.05958,1.68661,0.0058,0.32914,0.20404,0.07918,0.04256,2.47146,4.16945,0.01362,0.0010527,0.000350901,0.0010527,0.000350901,0.0010527,0.000350901,0.0010527,0.000350901
54,68.9185,2.63076,1.98242,0.00648,0.4003,0.09286,0.08973,0.04754,2.46298,4.11032,0.0136,0.00105102,0.000350341,0.00105102,0.000350341,0.00105102,0.000350341,0.00105102,0.000350341
55,70.2193,1.88819,1.6477,0.00683,0.36434,0.09286,0.09786,0.04766,2.42914,4.05672,0.01247,0.00104935,0.000349782,0.00104935,0.000349782,0.00104935,0.000349782,0.00104935,0.000349782
56,71.4778,2.00799,1.62865,0.00569,0.32707,0.07061,0.09286,0.04466,2.53156,4.16025,0.01261,0.00104767,0.000349222,0.00104767,0.000349222,0.00104767,0.000349222,0.00104767,0.000349222
57,72.7342,2.38549,1.73912,0.00613,0.62174,0.07783,0.07492,0.03389,2.56283,4.23701,0.01392,0.00104599,0.000348663,0.00104599,0.000348663,0.00104599,0.000348663,0.00104599,0.000348663
58,73.9955,2.19751,1.78977,0.00906,0.48587,0.12857,0.05926,0.03275,2.53007,4.26356,0.01321,0.00104431,0.000348103,0.00104431,0.000348103,0.00104431,0.000348103,0.00104431,0.000348103
59,75.2669,2.08338,1.68493,0.00696,0.9116,0.02857,0.05816,0.03346,2.40422,4.42209,0.01197,0.00104263,0.000347543,0.00104263,0.000347543,0.00104263,0.000347543,0.00104263,0.000347543
60,76.6218,2.05593,1.7214,0.00569,0.91208,0.02857,0.03587,0.02209,2.33791,4.50958,0.01241,0.00104095,0.000346984,0.00104095,0.000346984,0.00104095,0.000346984,0.00104095,0.000346984
61,77.9133,2.14665,1.57415,0.00484,0.90104,0.02857,0.03089,0.01813,2.33314,4.57187,0.01271,0.00103927,0.000346424,0.00103927,0.000346424,0.00103927,0.000346424,0.00103927,0.000346424
62,79.1572,1.97216,1.52381,0.00595,0.89755,0.02857,0.03413,0.02105,2.39177,4.60238,0.01268,0.00103759,0.000345865,0.00103759,0.000345865,0.00103759,0.000345865,0.00103759,0.000345865
63,80.4185,1.9859,1.84401,0.00672,0.01593,0.39524,0.05438,0.03081,2.41097,4.45453,0.01277,0.00103591,0.000345305,0.00103591,0.000345305,0.00103591,0.000345305,0.00103591,0.000345305
64,81.6792,2.21323,1.77456,0.00547,0.6552,0.08779,0.07785,0.04445,2.39171,4.23167,0.01219,0.00103424,0.000344745,0.00103424,0.000344745,0.00103424,0.000344745,0.00103424,0.000344745
65,82.9272,2.40945,1.83449,0.00595,0.79054,0.08134,0.09087,0.05806,2.35695,4.07234,0.01202,0.00103256,0.000344186,0.00103256,0.000344186,0.00103256,0.000344186,0.00103256,0.000344186
66,84.2011,2.17042,1.89403,0.00564,0.51066,0.0865,0.11039,0.06684,2.34661,4.00789,0.01087,0.00103088,0.000343626,0.00103088,0.000343626,0.00103088,0.000343626,0.00103088,0.000343626
67,85.4754,2.21307,1.9753,0.00648,0.51833,0.09102,0.11363,0.06486,2.33853,3.94741,0.01133,0.0010292,0.000343067,0.0010292,0.000343067,0.0010292,0.000343067,0.0010292,0.000343067
68,86.8416,1.93793,1.50445,0.00784,0.66136,0.08703,0.11008,0.06424,2.37043,3.93531,0.0111,0.00102752,0.000342507,0.00102752,0.000342507,0.00102752,0.000342507,0.00102752,0.000342507
69,88.1306,2.30023,1.94569,0.00654,0.49518,0.09286,0.11557,0.06627,2.37005,4.00281,0.01121,0.00102584,0.000341947,0.00102584,0.000341947,0.00102584,0.000341947,0.00102584,0.000341947
70,89.4022,2.14872,1.53963,0.00681,0.47838,0.06429,0.12137,0.06597,2.35299,3.83882,0.01149,0.00102416,0.000341388,0.00102416,0.000341388,0.00102416,0.000341388,0.00102416,0.000341388
