epoch,time,train/Loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/Loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,4.35967,1.79133,0.0432,0.17857,0.0429,0.03861,0.99655,0.00114,0.00038,0.00114,0.00038,0.00114,0.00038,0.00114,0.00038
2,8.77374,1.92098,0.07971,0.03571,0.04388,0.03861,1.02523,0.00113832,0.00037944,0.00113832,0.00037944,0.00113832,0.00037944,0.00113832,0.00037944
3,12.8495,1.79426,0.37515,0.03571,0.04448,0.03908,1.01178,0.00113664,0.000378881,0.00113664,0.000378881,0.00113664,0.000378881,0.00113664,0.000378881
4,16.7311,1.57881,0.08509,0.23571,0.05938,0.05376,1.00483,0.00113496,0.000378321,0.00113496,0.000378321,0.00113496,0.000378321,0.00113496,0.000378321
5,20.5401,1.62423,0.86304,0.0883,0.06802,0.06169,0.98185,0.00113328,0.000377762,0.00113328,0.000377762,0.00113328,0.000377762,0.00113328,0.000377762
6,24.3141,1.61258,0.89165,0.09286,0.06565,0.0579,1.0135,0.00113161,0.000377202,0.00113161,0.000377202,0.00113161,0.000377202,0.00113161,0.000377202
7,28.1086,1.41382,0.90186,0.09286,0.08636,0.07135,1.02854,0.00112993,0.000376642,0.00112993,0.000376642,0.00112993,0.000376642,0.00112993,0.000376642
8,31.9219,1.3868,0.89329,0.12174,0.14887,0.11179,1.08144,0.00112825,0.000376083,0.00112825,0.000376083,0.00112825,0.000376083,0.00112825,0.000376083
9,35.7373,1.24006,0.89455,0.12698,0.24685,0.17502,1.12669,0.00112657,0.000375523,0.00112657,0.000375523,0.00112657,0.000375523,0.00112657,0.000375523
10,39.7743,1.06162,0.91112,0.12349,0.25808,0.17956,1.14786,0.00112489,0.000374964,0.00112489,0.000374964,0.00112489,0.000374964,0.00112489,0.000374964
11,43.7366,1.02898,0.65,0.13933,0.24065,0.1739,1.2082,0.00112321,0.000374404,0.00112321,0.000374404,0.00112321,0.000374404,0.00112321,0.000374404
12,47.6416,0.98429,0.47066,0.30266,0.25161,0.17303,1.21866,0.00112153,0.000373844,0.00112153,0.000373844,0.00112153,0.000373844,0.00112153,0.000373844
13,51.4736,1.18624,0.34719,0.27143,0.25726,0.17743,1.25212,0.00111985,0.000373285,0.00111985,0.000373285,0.00111985,0.000373285,0.00111985,0.000373285
14,55.2567,0.88415,0.36847,0.27143,0.25823,0.1831,1.31763,0.00111818,0.000372725,0.00111818,0.000372725,0.00111818,0.000372725,0.00111818,0.000372725
15,59.1514,0.73975,0.48798,0.27721,0.26193,0.18907,1.38824,0.0011165,0.000372166,0.0011165,0.000372166,0.0011165,0.000372166,0.0011165,0.000372166
16,63.155,0.8118,0.49317,0.30269,0.2599,0.18806,1.41308,0.00111482,0.000371606,0.00111482,0.000371606,0.00111482,0.000371606,0.00111482,0.000371606
