epoch,time,train/Loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/Loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,3.4824,1.79133,0.0432,0.17857,0.0429,0.03861,0.99655,0.00114,0.00038,0.00114,0.00038,0.00114,0.00038,0.00114,0.00038
2,7.13361,1.92098,0.07859,0.03571,0.04515,0.03962,1.02642,0.00113832,0.00037944,0.00113832,0.00037944,0.00113832,0.00037944,0.00113832,0.00037944
3,11.0716,1.80083,0.66507,0.03571,0.04448,0.03908,0.99296,0.00113664,0.000378881,0.00113664,0.000378881,0.00113664,0.000378881,0.00113664,0.000378881
4,14.9034,1.5974,0.08253,0.23571,0.0528,0.04665,1.02886,0.00113496,0.000378321,0.00113496,0.000378321,0.00113496,0.000378321,0.00113496,0.000378321
5,18.552,1.63772,0.83177,0.06429,0.06128,0.05453,1.06653,0.00113328,0.000377762,0.00113328,0.000377762,0.00113328,0.000377762,0.00113328,0.000377762
6,22.244,1.57843,0.85313,0.09286,0.06534,0.05778,1.10086,0.00113161,0.000377202,0.00113161,0.000377202,0.00113161,0.000377202,0.00113161,0.000377202
7,25.9255,1.47742,0.89629,0.09286,0.1378,0.10502,1.11871,0.00112993,0.000376642,0.00112993,0.000376642,0.00112993,0.000376642,0.00112993,0.000376642
8,29.5602,1.48209,0.89619,0.09286,0.15786,0.11804,1.1195,0.00112825,0.000376083,0.00112825,0.000376083,0.00112825,0.000376083,0.00112825,0.000376083
9,33.2134,1.37295,0.89423,0.09286,0.23381,0.16185,1.16216,0.00112657,0.000375523,0.00112657,0.000375523,0.00112657,0.000375523,0.00112657,0.000375523
10,36.8743,1.08758,0.85113,0.0906,0.23471,0.16208,1.1855,0.00112489,0.000374964,0.00112489,0.000374964,0.00112489,0.000374964,0.00112489,0.000374964
11,40.6901,1.10129,0.88587,0.06429,0.22803,0.13794,1.20339,0.00112321,0.000374404,0.00112321,0.000374404,0.00112321,0.000374404,0.00112321,0.000374404
