epoch,time,train/Loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/Loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,3.41053,1.79133,0.0432,0.17857,0.0429,0.03861,0.99655,0.00114,0.00038,0.00114,0.00038,0.00114,0.00038,0.00114,0.00038
2,6.90343,1.92098,0.07964,0.03571,0.04448,0.03908,1.03087,0.00113832,0.00037944,0.00113832,0.00037944,0.00113832,0.00037944,0.00113832,0.00037944
3,10.6203,1.79727,0.14857,0.17857,0.04593,0.04025,1.06989,0.00113664,0.000378881,0.00113664,0.000378881,0.00113664,0.000378881,0.00113664,0.000378881
4,14.1645,1.70034,0.15095,0.20714,0.04715,0.04231,1.0701,0.00113496,0.000378321,0.00113496,0.000378321,0.00113496,0.000378321,0.00113496,0.000378321
5,17.7837,1.59234,0.82052,0.03771,0.05544,0.0502,1.12315,0.00113328,0.000377762,0.00113328,0.000377762,0.00113328,0.000377762,0.00113328,0.000377762
6,21.4468,1.58908,0.86794,0.09286,0.05823,0.04809,1.14881,0.00113161,0.000377202,0.00113161,0.000377202,0.00113161,0.000377202,0.00113161,0.000377202
7,25.0587,1.38275,0.88228,0.09286,0.05789,0.04743,1.21395,0.00112993,0.000376642,0.00112993,0.000376642,0.00112993,0.000376642,0.00112993,0.000376642
8,28.6446,1.43417,0.88586,0.09286,0.15008,0.05356,1.26722,0.00112825,0.000376083,0.00112825,0.000376083,0.00112825,0.000376083,0.00112825,0.000376083
9,32.2552,1.41973,0.92685,0.09286,0.21801,0.08091,1.31909,0.00112657,0.000375523,0.00112657,0.000375523,0.00112657,0.000375523,0.00112657,0.000375523
10,35.9041,1.19204,0.88384,0.09286,0.21957,0.09274,1.3867,0.00112489,0.000374964,0.00112489,0.000374964,0.00112489,0.000374964,0.00112489,0.000374964
11,39.7308,1.16365,0.8711,0.09139,0.23686,0.1158,1.44802,0.00112321,0.000374404,0.00112321,0.000374404,0.00112321,0.000374404,0.00112321,0.000374404
12,43.3458,1.18138,0.83905,0.09272,0.22192,0.12695,1.37706,0.00112153,0.000373844,0.00112153,0.000373844,0.00112153,0.000373844,0.00112153,0.000373844
13,47.0261,1.22889,0.76464,0.06429,0.14643,0.09562,1.38595,0.00111985,0.000373285,0.00111985,0.000373285,0.00111985,0.000373285,0.00111985,0.000373285
14,50.5135,1.02389,0.88481,0.09286,0.16022,0.11807,1.39944,0.00111818,0.000372725,0.00111818,0.000372725,0.00111818,0.000372725,0.00111818,0.000372725
15,54.0964,0.91422,0.93993,0.09286,0.23384,0.17806,1.43092,0.0011165,0.000372166,0.0011165,0.000372166,0.0011165,0.000372166,0.0011165,0.000372166
16,57.6966,0.92895,0.57122,0.23571,0.24129,0.17998,1.45925,0.00111482,0.000371606,0.00111482,0.000371606,0.00111482,0.000371606,0.00111482,0.000371606
17,61.4131,0.93372,0.58446,0.23571,0.24994,0.18723,1.5157,0.00111314,0.000371046,0.00111314,0.000371046,0.00111314,0.000371046,0.00111314,0.000371046
18,65.031,0.72887,0.45117,0.23571,0.23784,0.17846,1.41147,0.00111146,0.000370487,0.00111146,0.000370487,0.00111146,0.000370487,0.00111146,0.000370487
19,68.6917,0.79787,0.43736,0.23571,0.24371,0.18384,1.40595,0.00110978,0.000369927,0.00110978,0.000369927,0.00110978,0.000369927,0.00110978,0.000369927
20,72.267,0.78296,0.44161,0.23571,0.24003,0.18095,1.42825,0.0011081,0.000369368,0.0011081,0.000369368,0.0011081,0.000369368,0.0011081,0.000369368
21,75.9327,0.67807,0.44594,0.23571,0.23403,0.17799,1.36773,0.00110642,0.000368808,0.00110642,0.000368808,0.00110642,0.000368808,0.00110642,0.000368808
22,79.5503,0.82673,0.32303,0.23571,0.23805,0.17797,1.42755,0.00110475,0.000368248,0.00110475,0.000368248,0.00110475,0.000368248,0.00110475,0.000368248
23,83.179,0.83896,0.62646,0.23571,0.24653,0.17914,1.45346,0.00110307,0.000367689,0.00110307,0.000367689,0.00110307,0.000367689,0.00110307,0.000367689
24,86.7648,0.68847,0.78485,0.23571,0.26844,0.20082,1.49427,0.00110139,0.000367129,0.00110139,0.000367129,0.00110139,0.000367129,0.00110139,0.000367129
25,90.3746,0.67898,0.82014,0.23571,0.27039,0.19862,1.5358,0.00109971,0.00036657,0.00109971,0.00036657,0.00109971,0.00036657,0.00109971,0.00036657
26,93.981,0.59054,0.81734,0.23571,0.29289,0.21232,1.51546,0.00109803,0.00036601,0.00109803,0.00036601,0.00109803,0.00036601,0.00109803,0.00036601
27,97.6658,0.73385,0.75753,0.28333,0.282,0.22263,1.47001,0.00109635,0.00036545,0.00109635,0.00036545,0.00109635,0.00036545,0.00109635,0.00036545
28,101.331,0.6185,0.72526,0.28333,0.27923,0.20911,1.50462,0.00109467,0.000364891,0.00109467,0.000364891,0.00109467,0.000364891,0.00109467,0.000364891
29,104.907,0.55065,0.72413,0.28333,0.27819,0.2142,1.41208,0.00109299,0.000364331,0.00109299,0.000364331,0.00109299,0.000364331,0.00109299,0.000364331
30,108.532,0.55014,0.7421,0.28333,0.27608,0.21201,1.40238,0.00109132,0.000363772,0.00109132,0.000363772,0.00109132,0.000363772,0.00109132,0.000363772
31,112.131,0.49441,0.76222,0.23571,0.27721,0.21004,1.38921,0.00108964,0.000363212,0.00108964,0.000363212,0.00108964,0.000363212,0.00108964,0.000363212
32,115.764,0.46539,0.79442,0.23571,0.28624,0.21835,1.41633,0.00108796,0.000362652,0.00108796,0.000362652,0.00108796,0.000362652,0.00108796,0.000362652
33,119.366,0.6849,0.80514,0.23571,0.26134,0.198,1.44663,0.00108628,0.000362093,0.00108628,0.000362093,0.00108628,0.000362093,0.00108628,0.000362093
34,123.331,0.4195,0.80521,0.23571,0.24426,0.18629,1.41242,0.0010846,0.000361533,0.0010846,0.000361533,0.0010846,0.000361533,0.0010846,0.000361533
35,127.296,0.40882,0.804,0.23571,0.24659,0.1922,1.41413,0.00108292,0.000360974,0.00108292,0.000360974,0.00108292,0.000360974,0.00108292,0.000360974
36,131.291,0.53448,0.79684,0.23571,0.24568,0.18969,1.42634,0.00108124,0.000360414,0.00108124,0.000360414,0.00108124,0.000360414,0.00108124,0.000360414
37,135.224,0.54161,0.79067,0.23571,0.24308,0.18683,1.41717,0.00107956,0.000359854,0.00107956,0.000359854,0.00107956,0.000359854,0.00107956,0.000359854
38,138.857,0.51161,0.8025,0.23571,0.24747,0.19518,1.44125,0.00107788,0.000359295,0.00107788,0.000359295,0.00107788,0.000359295,0.00107788,0.000359295
39,142.508,0.46517,0.82448,0.23571,0.25226,0.19529,1.45107,0.00107621,0.000358735,0.00107621,0.000358735,0.00107621,0.000358735,0.00107621,0.000358735
40,146.085,0.39866,0.83082,0.23571,0.25352,0.1945,1.44637,0.00107453,0.000358176,0.00107453,0.000358176,0.00107453,0.000358176,0.00107453,0.000358176
41,149.738,0.38348,0.82325,0.23571,0.26396,0.20714,1.38685,0.00107285,0.000357616,0.00107285,0.000357616,0.00107285,0.000357616,0.00107285,0.000357616
42,153.311,0.49082,0.81084,0.23571,0.30039,0.23409,1.47155,0.00107117,0.000357057,0.00107117,0.000357057,0.00107117,0.000357057,0.00107117,0.000357057
43,156.915,0.49198,0.8311,0.23571,0.29847,0.23228,1.46799,0.00106949,0.000356497,0.00106949,0.000356497,0.00106949,0.000356497,0.00106949,0.000356497
44,160.566,0.40584,0.83023,0.23571,0.30326,0.2465,1.47266,0.00106781,0.000355937,0.00106781,0.000355937,0.00106781,0.000355937,0.00106781,0.000355937
45,164.221,0.35367,0.81973,0.23571,0.27859,0.21698,1.45345,0.00106613,0.000355378,0.00106613,0.000355378,0.00106613,0.000355378,0.00106613,0.000355378
46,167.944,0.48539,0.80894,0.23571,0.28426,0.22319,1.41238,0.00106445,0.000354818,0.00106445,0.000354818,0.00106445,0.000354818,0.00106445,0.000354818
47,171.556,0.42169,0.82201,0.23571,0.27332,0.21479,1.43669,0.00106278,0.000354259,0.00106278,0.000354259,0.00106278,0.000354259,0.00106278,0.000354259
48,175.187,0.46149,0.83562,0.23571,0.28048,0.21321,1.49101,0.0010611,0.000353699,0.0010611,0.000353699,0.0010611,0.000353699,0.0010611,0.000353699
49,178.77,0.36869,0.82623,0.23571,0.27924,0.23399,1.42613,0.00105942,0.000353139,0.00105942,0.000353139,0.00105942,0.000353139,0.00105942,0.000353139
50,182.344,0.40603,0.81765,0.23571,0.28592,0.22634,1.44818,0.00105774,0.00035258,0.00105774,0.00035258,0.00105774,0.00035258,0.00105774,0.00035258
51,185.955,0.33097,0.8286,0.23571,0.28667,0.22642,1.50865,0.00105606,0.00035202,0.00105606,0.00035202,0.00105606,0.00035202,0.00105606,0.00035202
52,189.613,0.41276,0.82233,0.23571,0.28505,0.22455,1.47137,0.00105438,0.000351461,0.00105438,0.000351461,0.00105438,0.000351461,0.00105438,0.000351461
53,193.207,0.43218,0.84736,0.23571,0.28614,0.2426,1.46353,0.0010527,0.000350901,0.0010527,0.000350901,0.0010527,0.000350901,0.0010527,0.000350901
54,196.959,0.34125,0.83472,0.23571,0.28536,0.24189,1.46796,0.00105102,0.000350341,0.00105102,0.000350341,0.00105102,0.000350341,0.00105102,0.000350341
55,200.68,0.29204,0.8394,0.23571,0.26199,0.20403,1.55241,0.00104935,0.000349782,0.00104935,0.000349782,0.00104935,0.000349782,0.00104935,0.000349782
56,204.362,0.38641,0.84246,0.23571,0.29141,0.22672,1.51919,0.00104767,0.000349222,0.00104767,0.000349222,0.00104767,0.000349222,0.00104767,0.000349222
57,207.931,0.38273,0.83272,0.23571,0.29288,0.2277,1.47926,0.00104599,0.000348663,0.00104599,0.000348663,0.00104599,0.000348663,0.00104599,0.000348663
58,211.75,0.36111,0.83151,0.23571,0.29578,0.23016,1.49014,0.00104431,0.000348103,0.00104431,0.000348103,0.00104431,0.000348103,0.00104431,0.000348103
59,215.319,0.33471,0.82508,0.23571,0.30036,0.23406,1.48986,0.00104263,0.000347543,0.00104263,0.000347543,0.00104263,0.000347543,0.00104263,0.000347543
60,218.948,0.35505,0.83092,0.23571,0.29714,0.24555,1.4093,0.00104095,0.000346984,0.00104095,0.000346984,0.00104095,0.000346984,0.00104095,0.000346984
61,222.541,0.33808,0.82657,0.23571,0.30029,0.25394,1.3856,0.00103927,0.000346424,0.00103927,0.000346424,0.00103927,0.000346424,0.00103927,0.000346424
62,226.109,0.30957,0.82688,0.23571,0.29714,0.24555,1.43687,0.00103759,0.000345865,0.00103759,0.000345865,0.00103759,0.000345865,0.00103759,0.000345865
63,229.717,0.36197,0.83347,0.23571,0.2949,0.24909,1.45265,0.00103591,0.000345305,0.00103591,0.000345305,0.00103591,0.000345305,0.00103591,0.000345305
64,233.444,0.31298,0.82131,0.23571,0.29076,0.2449,1.44117,0.00103424,0.000344745,0.00103424,0.000344745,0.00103424,0.000344745,0.00103424,0.000344745
65,237.097,0.2849,0.82558,0.23571,0.29548,0.23493,1.40919,0.00103256,0.000344186,0.00103256,0.000344186,0.00103256,0.000344186,0.00103256,0.000344186
66,240.721,0.33181,0.82313,0.23571,0.29076,0.23069,1.40222,0.00103088,0.000343626,0.00103088,0.000343626,0.00103088,0.000343626,0.00103088,0.000343626
67,244.362,0.31152,0.82708,0.23571,0.29076,0.2449,1.44853,0.0010292,0.000343067,0.0010292,0.000343067,0.0010292,0.000343067,0.0010292,0.000343067
68,247.936,0.33286,0.8279,0.23571,0.29076,0.2449,1.47433,0.00102752,0.000342507,0.00102752,0.000342507,0.00102752,0.000342507,0.00102752,0.000342507
69,251.619,0.29535,0.83114,0.23571,0.28762,0.23651,1.49395,0.00102584,0.000341947,0.00102584,0.000341947,0.00102584,0.000341947,0.00102584,0.000341947
70,255.328,0.3462,0.82622,0.23571,0.29076,0.23919,1.41954,0.00102416,0.000341388,0.00102416,0.000341388,0.00102416,0.000341388,0.00102416,0.000341388
71,258.902,0.29696,0.82282,0.23571,0.26929,0.22604,1.47918,0.00102248,0.000340828,0.00102248,0.000340828,0.00102248,0.000340828,0.00102248,0.000340828
72,262.56,0.32051,0.82378,0.23571,0.25583,0.19271,1.52264,0.00102081,0.000340269,0.00102081,0.000340269,0.00102081,0.000340269,0.00102081,0.000340269
73,266.406,0.34908,0.83211,0.23571,0.2606,0.21449,1.43989,0.00101913,0.000339709,0.00101913,0.000339709,0.00101913,0.000339709,0.00101913,0.000339709
74,270.361,0.32865,0.82927,0.23571,0.25782,0.20937,1.49477,0.00101745,0.000339149,0.00101745,0.000339149,0.00101745,0.000339149,0.00101745,0.000339149
75,274.96,0.27398,0.82485,0.23571,0.25523,0.20626,1.50378,0.00101577,0.00033859,0.00101577,0.00033859,0.00101577,0.00033859,0.00101577,0.00033859
76,279.438,0.33385,0.81708,0.23571,0.25655,0.20949,1.48215,0.00101409,0.00033803,0.00101409,0.00033803,0.00101409,0.00033803,0.00101409,0.00033803
77,283.238,0.31886,0.82614,0.23571,0.2574,0.20998,1.4843,0.00101241,0.000337471,0.00101241,0.000337471,0.00101241,0.000337471,0.00101241,0.000337471
78,287.044,0.30683,0.83666,0.23571,0.25583,0.21068,1.47216,0.00101073,0.000336911,0.00101073,0.000336911,0.00101073,0.000336911,0.00101073,0.000336911
79,290.955,0.26906,0.83959,0.23571,0.26607,0.22033,1.47897,0.00100905,0.000336351,0.00100905,0.000336351,0.00100905,0.000336351,0.00100905,0.000336351
80,294.967,0.35228,0.85559,0.23571,0.26798,0.21064,1.45273,0.00100738,0.000335792,0.00100738,0.000335792,0.00100738,0.000335792,0.00100738,0.000335792
