epoch,time,train/Loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/Loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,5.46042,1.87048,0.08475,0.03571,0.04248,0.03823,0.94896,0.00114,0.00038,0.00114,0.00038,0.00114,0.00038,0.00114,0.00038
2,10.7085,2.05377,0.67569,0.03571,0.04248,0.03823,0.9706,0.00113832,0.00037944,0.00113832,0.00037944,0.00113832,0.00037944,0.00113832,0.00037944
3,15.53,1.74469,0.03656,0.23571,0.05274,0.04747,0.98446,0.00113664,0.000378881,0.00113664,0.000378881,0.00113664,0.000378881,0.00113664,0.000378881
4,20.3867,1.69997,0.82285,0.06429,0.05823,0.0517,1.01073,0.00113496,0.000378321,0.00113496,0.000378321,0.00113496,0.000378321,0.00113496,0.000378321
5,25.079,1.4983,0.85034,0.09091,0.06129,0.05441,1.01312,0.00113328,0.000377762,0.00113328,0.000377762,0.00113328,0.000377762,0.00113328,0.000377762
6,29.6543,1.39251,0.87065,0.09286,0.06217,0.05558,1.02459,0.00113161,0.000377202,0.00113161,0.000377202,0.00113161,0.000377202,0.00113161,0.000377202
7,34.2864,1.24528,0.89213,0.09286,0.20071,0.15079,1.03447,0.00112993,0.000376642,0.00112993,0.000376642,0.00112993,0.000376642,0.00112993,0.000376642
8,39.1947,1.38108,0.91937,0.09286,0.20956,0.15972,1.02031,0.00112825,0.000376083,0.00112825,0.000376083,0.00112825,0.000376083,0.00112825,0.000376083
9,43.7594,1.12919,0.90276,0.09286,0.21575,0.16507,1.01446,0.00112657,0.000375523,0.00112657,0.000375523,0.00112657,0.000375523,0.00112657,0.000375523
10,48.792,1.09368,0.88849,0.09286,0.21924,0.16834,1.05316,0.00112489,0.000374964,0.00112489,0.000374964,0.00112489,0.000374964,0.00112489,0.000374964
11,53.7124,0.94047,0.63571,0.09286,0.22164,0.16954,1.06854,0.00112321,0.000374404,0.00112321,0.000374404,0.00112321,0.000374404,0.00112321,0.000374404
12,58.5829,0.98563,0.59332,0.23571,0.22929,0.16904,1.11811,0.00112153,0.000373844,0.00112153,0.000373844,0.00112153,0.000373844,0.00112153,0.000373844
13,63.2701,1.16375,0.6236,0.23571,0.23212,0.17098,1.16925,0.00111985,0.000373285,0.00111985,0.000373285,0.00111985,0.000373285,0.00111985,0.000373285
14,68.0378,0.867,0.80954,0.23571,0.23172,0.17178,1.18811,0.00111818,0.000372725,0.00111818,0.000372725,0.00111818,0.000372725,0.00111818,0.000372725
15,73.0914,0.82121,0.81266,0.23571,0.22956,0.17663,1.16661,0.0011165,0.000372166,0.0011165,0.000372166,0.0011165,0.000372166,0.0011165,0.000372166
16,77.8234,0.85715,0.73095,0.26811,0.27101,0.20354,1.17245,0.00111482,0.000371606,0.00111482,0.000371606,0.00111482,0.000371606,0.00111482,0.000371606
17,82.5927,0.93884,0.68103,0.27143,0.26445,0.21335,1.19048,0.00111314,0.000371046,0.00111314,0.000371046,0.00111314,0.000371046,0.00111314,0.000371046
18,87.2799,0.79759,0.64724,0.27143,0.26416,0.19587,1.20706,0.00111146,0.000370487,0.00111146,0.000370487,0.00111146,0.000370487,0.00111146,0.000370487
19,91.9032,0.83311,0.66181,0.27143,0.28229,0.19419,1.25166,0.00110978,0.000369927,0.00110978,0.000369927,0.00110978,0.000369927,0.00110978,0.000369927
20,96.5327,0.76392,0.54091,0.27143,0.26425,0.19592,1.2825,0.0011081,0.000369368,0.0011081,0.000369368,0.0011081,0.000369368,0.0011081,0.000369368
21,101.014,0.70731,0.70134,0.27143,0.26574,0.1972,1.32064,0.00110642,0.000368808,0.00110642,0.000368808,0.00110642,0.000368808,0.00110642,0.000368808
22,105.521,0.87266,0.71066,0.27143,0.28955,0.20637,1.33344,0.00110475,0.000368248,0.00110475,0.000368248,0.00110475,0.000368248,0.00110475,0.000368248
23,110.067,0.80105,0.85888,0.27143,0.30167,0.21982,1.34805,0.00110307,0.000367689,0.00110307,0.000367689,0.00110307,0.000367689,0.00110307,0.000367689
24,114.739,0.6075,0.85933,0.27143,0.30225,0.21833,1.30382,0.00110139,0.000367129,0.00110139,0.000367129,0.00110139,0.000367129,0.00110139,0.000367129
25,119.298,0.58776,0.85844,0.27143,0.30768,0.22208,1.30711,0.00109971,0.00036657,0.00109971,0.00036657,0.00109971,0.00036657,0.00109971,0.00036657
26,124.124,0.59098,0.85499,0.27143,0.31052,0.22519,1.31893,0.00109803,0.00036601,0.00109803,0.00036601,0.00109803,0.00036601,0.00109803,0.00036601
27,129.128,0.67268,0.85306,0.27143,0.30617,0.22564,1.29989,0.00109635,0.00036545,0.00109635,0.00036545,0.00109635,0.00036545,0.00109635,0.00036545
