epoch,time,train/Loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/Loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,5.96049,1.87048,0.08475,0.03571,0.04248,0.03823,0.94896,0.00114,0.00038,0.00114,0.00038,0.00114,0.00038,0.00114,0.00038
2,11.4048,2.05377,0.67569,0.03571,0.04248,0.03823,0.9706,0.00113832,0.00037944,0.00113832,0.00037944,0.00113832,0.00037944,0.00113832,0.00037944
3,15.8002,1.74469,0.03656,0.23571,0.05274,0.04747,0.98446,0.00113664,0.000378881,0.00113664,0.000378881,0.00113664,0.000378881,0.00113664,0.000378881
4,20.2171,1.69997,0.82285,0.06429,0.05823,0.0517,1.01073,0.00113496,0.000378321,0.00113496,0.000378321,0.00113496,0.000378321,0.00113496,0.000378321
5,24.8072,1.4983,0.85034,0.09091,0.06129,0.05441,1.01312,0.00113328,0.000377762,0.00113328,0.000377762,0.00113328,0.000377762,0.00113328,0.000377762
6,29.239,1.39251,0.87065,0.09286,0.06217,0.05558,1.02459,0.00113161,0.000377202,0.00113161,0.000377202,0.00113161,0.000377202,0.00113161,0.000377202
7,33.5612,1.24528,0.89213,0.09286,0.20071,0.15079,1.03447,0.00112993,0.000376642,0.00112993,0.000376642,0.00112993,0.000376642,0.00112993,0.000376642
8,37.9781,1.38108,0.91937,0.09286,0.20956,0.15972,1.02031,0.00112825,0.000376083,0.00112825,0.000376083,0.00112825,0.000376083,0.00112825,0.000376083
9,42.5419,1.12919,0.90276,0.09286,0.21575,0.16507,1.01446,0.00112657,0.000375523,0.00112657,0.000375523,0.00112657,0.000375523,0.00112657,0.000375523
10,47.0749,1.09368,0.88849,0.09286,0.21924,0.16834,1.05316,0.00112489,0.000374964,0.00112489,0.000374964,0.00112489,0.000374964,0.00112489,0.000374964
11,51.4892,0.94047,0.63571,0.09286,0.22164,0.16954,1.06854,0.00112321,0.000374404,0.00112321,0.000374404,0.00112321,0.000374404,0.00112321,0.000374404
12,56.2121,0.98563,0.59332,0.23571,0.22929,0.16904,1.11811,0.00112153,0.000373844,0.00112153,0.000373844,0.00112153,0.000373844,0.00112153,0.000373844
13,60.599,1.16375,0.6236,0.23571,0.23212,0.17098,1.16925,0.00111985,0.000373285,0.00111985,0.000373285,0.00111985,0.000373285,0.00111985,0.000373285
14,65.0337,0.867,0.80954,0.23571,0.23172,0.17178,1.18811,0.00111818,0.000372725,0.00111818,0.000372725,0.00111818,0.000372725,0.00111818,0.000372725
15,69.4469,0.82121,0.81266,0.23571,0.22956,0.17663,1.16661,0.0011165,0.000372166,0.0011165,0.000372166,0.0011165,0.000372166,0.0011165,0.000372166
16,74.1136,0.85715,0.73095,0.26811,0.27101,0.20354,1.17245,0.00111482,0.000371606,0.00111482,0.000371606,0.00111482,0.000371606,0.00111482,0.000371606
17,78.659,0.93884,0.68103,0.27143,0.26445,0.21335,1.19048,0.00111314,0.000371046,0.00111314,0.000371046,0.00111314,0.000371046,0.00111314,0.000371046
18,83.2101,0.79759,0.64724,0.27143,0.26416,0.19587,1.20706,0.00111146,0.000370487,0.00111146,0.000370487,0.00111146,0.000370487,0.00111146,0.000370487
