epoch,time,train/Loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/Loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,4.54394,1.87308,0.0827,0.03571,0.04248,0.03823,0.94361,0.00114,0.00038,0.00114,0.00038,0.00114,0.00038,0.00114,0.00038
2,9.75948,2.04582,0.67366,0.03571,0.04248,0.03823,0.95756,0.00113832,0.00037944,0.00113832,0.00037944,0.00113832,0.00037944,0.00113832,0.00037944
3,14.4645,1.72672,0.68794,0.03571,0.05237,0.04636,0.96725,0.00113664,0.000378881,0.00113664,0.000378881,0.00113664,0.000378881,0.00113664,0.000378881
4,19.2124,1.72659,0.67711,0.06429,0.05621,0.04882,0.96763,0.00113496,0.000378321,0.00113496,0.000378321,0.00113496,0.000378321,0.00113496,0.000378321
5,24.024,1.51113,0.84741,0.0886,0.06171,0.05475,0.9864,0.00113328,0.000377762,0.00113328,0.000377762,0.00113328,0.000377762,0.00113328,0.000377762
6,28.7804,1.41458,0.86323,0.09285,0.06217,0.05558,0.99851,0.00113161,0.000377202,0.00113161,0.000377202,0.00113161,0.000377202,0.00113161,0.000377202
7,33.3183,1.19771,0.88619,0.09286,0.20431,0.15508,0.99317,0.00112993,0.000376642,0.00112993,0.000376642,0.00112993,0.000376642,0.00112993,0.000376642
8,37.8923,1.37895,0.90637,0.09286,0.20956,0.15833,1.02371,0.00112825,0.000376083,0.00112825,0.000376083,0.00112825,0.000376083,0.00112825,0.000376083
9,42.6232,1.17329,0.91035,0.09286,0.20912,0.16117,1.03268,0.00112657,0.000375523,0.00112657,0.000375523,0.00112657,0.000375523,0.00112657,0.000375523
10,47.2806,1.11697,0.89478,0.09286,0.21664,0.16494,1.06396,0.00112489,0.000374964,0.00112489,0.000374964,0.00112489,0.000374964,0.00112489,0.000374964
11,51.8953,0.97819,0.63994,0.09286,0.21796,0.16208,1.07742,0.00112321,0.000374404,0.00112321,0.000374404,0.00112321,0.000374404,0.00112321,0.000374404
12,56.435,1.00101,0.61279,0.23571,0.22484,0.1634,1.09002,0.00112153,0.000373844,0.00112153,0.000373844,0.00112153,0.000373844,0.00112153,0.000373844
13,60.6951,1.15556,0.63687,0.23571,0.22898,0.16047,1.12148,0.00111985,0.000373285,0.00111985,0.000373285,0.00111985,0.000373285,0.00111985,0.000373285
14,65.0588,0.8286,0.82705,0.23571,0.23142,0.16026,1.16388,0.00111818,0.000372725,0.00111818,0.000372725,0.00111818,0.000372725,0.00111818,0.000372725
15,69.6181,0.84801,0.83463,0.23571,0.23292,0.15963,1.16068,0.0011165,0.000372166,0.0011165,0.000372166,0.0011165,0.000372166,0.0011165,0.000372166
16,74.1034,0.83914,0.68632,0.23571,0.24403,0.17849,1.1469,0.00111482,0.000371606,0.00111482,0.000371606,0.00111482,0.000371606,0.00111482,0.000371606
17,78.8199,0.93021,0.68177,0.23571,0.24662,0.18433,1.16781,0.00111314,0.000371046,0.00111314,0.000371046,0.00111314,0.000371046,0.00111314,0.000371046
18,83.1497,0.73971,0.65574,0.23571,0.25181,0.18707,1.20904,0.00111146,0.000370487,0.00111146,0.000370487,0.00111146,0.000370487,0.00111146,0.000370487
19,87.7401,0.75622,0.6349,0.27143,0.25368,0.18518,1.2544,0.00110978,0.000369927,0.00110978,0.000369927,0.00110978,0.000369927,0.00110978,0.000369927
