epoch,time,train/Loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/Loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,5.6157,1.87436,0.08475,0.03571,0.04248,0.03823,0.94661,0.00114,0.00038,0.00114,0.00038,0.00114,0.00038,0.00114,0.00038
2,10.5409,2.05231,0.67534,0.03571,0.04248,0.03823,0.95949,0.00113832,0.00037944,0.00113832,0.00037944,0.00113832,0.00037944,0.00113832,0.00037944
3,15.383,1.76866,0.03707,0.23571,0.05237,0.04636,0.9663,0.00113664,0.000378881,0.00113664,0.000378881,0.00113664,0.000378881,0.00113664,0.000378881
4,19.9809,1.71592,0.82347,0.06429,0.05621,0.04988,0.97548,0.00113496,0.000378321,0.00113496,0.000378321,0.00113496,0.000378321,0.00113496,0.000378321
5,24.7241,1.46011,0.84762,0.0894,0.06092,0.05458,0.9983,0.00113328,0.000377762,0.00113328,0.000377762,0.00113328,0.000377762,0.00113328,0.000377762
6,29.2043,1.328,0.86393,0.09286,0.13278,0.10496,1.01737,0.00113161,0.000377202,0.00113161,0.000377202,0.00113161,0.000377202,0.00113161,0.000377202
7,33.8666,1.18492,0.88646,0.09286,0.20543,0.15456,1.01638,0.00112993,0.000376642,0.00112993,0.000376642,0.00112993,0.000376642,0.00112993,0.000376642
8,38.6411,1.41644,0.91447,0.09286,0.20536,0.15543,0.98322,0.00112825,0.000376083,0.00112825,0.000376083,0.00112825,0.000376083,0.00112825,0.000376083
9,43.2136,1.11901,0.90851,0.09286,0.20536,0.15779,0.9839,0.00112657,0.000375523,0.00112657,0.000375523,0.00112657,0.000375523,0.00112657,0.000375523
10,48.2391,1.11804,0.66037,0.09286,0.21518,0.16384,1.00585,0.00112489,0.000374964,0.00112489,0.000374964,0.00112489,0.000374964,0.00112489,0.000374964
11,52.8288,0.95688,0.6153,0.23571,0.21937,0.16699,1.02658,0.00112321,0.000374404,0.00112321,0.000374404,0.00112321,0.000374404,0.00112321,0.000374404
12,57.6756,1.01823,0.56708,0.23571,0.22586,0.16416,1.04844,0.00112153,0.000373844,0.00112153,0.000373844,0.00112153,0.000373844,0.00112153,0.000373844
13,62.4509,1.19708,0.75896,0.23571,0.22852,0.1622,1.08355,0.00111985,0.000373285,0.00111985,0.000373285,0.00111985,0.000373285,0.00111985,0.000373285
14,67.1501,0.79557,0.78786,0.23571,0.22873,0.16303,1.1027,0.00111818,0.000372725,0.00111818,0.000372725,0.00111818,0.000372725,0.00111818,0.000372725
15,71.9467,0.75958,0.79745,0.23571,0.23515,0.16864,1.08724,0.0011165,0.000372166,0.0011165,0.000372166,0.0011165,0.000372166,0.0011165,0.000372166
16,76.6319,0.83943,0.76391,0.23571,0.24623,0.1748,1.08131,0.00111482,0.000371606,0.00111482,0.000371606,0.00111482,0.000371606,0.00111482,0.000371606
17,80.9157,0.92225,0.73957,0.23571,0.24861,0.17573,1.13908,0.00111314,0.000371046,0.00111314,0.000371046,0.00111314,0.000371046,0.00111314,0.000371046
18,85.4008,0.70963,0.73233,0.23806,0.25683,0.18456,1.12942,0.00111146,0.000370487,0.00111146,0.000370487,0.00111146,0.000370487,0.00111146,0.000370487
19,89.9986,0.74389,0.75167,0.27143,0.25993,0.20373,1.14882,0.00110978,0.000369927,0.00110978,0.000369927,0.00110978,0.000369927,0.00110978,0.000369927
20,94.6082,0.68202,0.75324,0.27143,0.25897,0.19359,1.14683,0.0011081,0.000369368,0.0011081,0.000369368,0.0011081,0.000369368,0.0011081,0.000369368
21,99.0068,0.63807,0.77164,0.27143,0.2825,0.20848,1.15752,0.00110642,0.000368808,0.00110642,0.000368808,0.00110642,0.000368808,0.00110642,0.000368808
22,103.625,0.79984,0.63412,0.27143,0.28375,0.20931,1.1565,0.00110475,0.000368248,0.00110475,0.000368248,0.00110475,0.000368248,0.00110475,0.000368248
23,108.167,0.83009,0.6319,0.29568,0.28299,0.21567,1.19843,0.00110307,0.000367689,0.00110307,0.000367689,0.00110307,0.000367689,0.00110307,0.000367689
24,112.741,0.58744,0.64356,0.30714,0.30431,0.23466,1.16487,0.00110139,0.000367129,0.00110139,0.000367129,0.00110139,0.000367129,0.00110139,0.000367129
25,117.318,0.53485,0.6722,0.30138,0.30523,0.23478,1.13878,0.00109971,0.00036657,0.00109971,0.00036657,0.00109971,0.00036657,0.00109971,0.00036657
26,122.019,0.51427,0.81073,0.29356,0.31369,0.24031,1.21693,0.00109803,0.00036601,0.00109803,0.00036601,0.00109803,0.00036601,0.00109803,0.00036601
27,126.564,0.67966,0.65336,0.28409,0.32439,0.2493,1.1725,0.00109635,0.00036545,0.00109635,0.00036545,0.00109635,0.00036545,0.00109635,0.00036545
28,131.322,0.53733,0.65795,0.29484,0.32742,0.24823,1.21611,0.00109467,0.000364891,0.00109467,0.000364891,0.00109467,0.000364891,0.00109467,0.000364891
29,135.89,0.4718,0.65679,0.30714,0.33376,0.25393,1.16455,0.00109299,0.000364331,0.00109299,0.000364331,0.00109299,0.000364331,0.00109299,0.000364331
30,140.567,0.49166,0.65199,0.30714,0.3439,0.26388,1.20282,0.00109132,0.000363772,0.00109132,0.000363772,0.00109132,0.000363772,0.00109132,0.000363772
31,145.249,0.4238,0.65157,0.30714,0.36369,0.28171,1.26116,0.00108964,0.000363212,0.00108964,0.000363212,0.00108964,0.000363212,0.00108964,0.000363212
