epoch,time,train/Loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/Loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,4.36115,1.87224,0.08471,0.03571,0.04248,0.03823,0.94836,0.00114,0.00038,0.00114,0.00038,0.00114,0.00038,0.00114,0.00038
2,9.0779,2.05423,0.67642,0.03571,0.04248,0.03823,0.96714,0.00113832,0.00037944,0.00113832,0.00037944,0.00113832,0.00037944,0.00113832,0.00037944
3,13.7019,1.74772,0.03639,0.23571,0.05237,0.04713,0.97193,0.00113664,0.000378881,0.00113664,0.000378881,0.00113664,0.000378881,0.00113664,0.000378881
4,17.9579,1.70585,0.82116,0.06429,0.05621,0.04988,0.99438,0.00113496,0.000378321,0.00113496,0.000378321,0.00113496,0.000378321,0.00113496,0.000378321
5,22.4564,1.48542,0.84854,0.09062,0.06129,0.05488,0.99074,0.00113328,0.000377762,0.00113328,0.000377762,0.00113328,0.000377762,0.00113328,0.000377762
6,26.8636,1.38177,0.86889,0.09286,0.06217,0.05558,1.0017,0.00113161,0.000377202,0.00113161,0.000377202,0.00113161,0.000377202,0.00113161,0.000377202
7,31.0495,1.16787,0.89072,0.09286,0.20071,0.15079,1.00955,0.00112993,0.000376642,0.00112993,0.000376642,0.00112993,0.000376642,0.00112993,0.000376642
8,36.1765,1.39799,0.91847,0.09286,0.20982,0.15993,1.02578,0.00112825,0.000376083,0.00112825,0.000376083,0.00112825,0.000376083,0.00112825,0.000376083
9,41.1082,1.14066,0.93824,0.09214,0.23517,0.17193,1.03295,0.00112657,0.000375523,0.00112657,0.000375523,0.00112657,0.000375523,0.00112657,0.000375523
10,46.1686,1.09282,0.8914,0.09286,0.21862,0.16033,1.06177,0.00112489,0.000374964,0.00112489,0.000374964,0.00112489,0.000374964,0.00112489,0.000374964
11,50.6924,0.96579,0.87998,0.09286,0.23029,0.1584,1.08031,0.00112321,0.000374404,0.00112321,0.000374404,0.00112321,0.000374404,0.00112321,0.000374404
12,55.1277,1.04145,0.60594,0.23571,0.23134,0.15912,1.11366,0.00112153,0.000373844,0.00112153,0.000373844,0.00112153,0.000373844,0.00112153,0.000373844
13,59.5039,1.20103,0.58215,0.23571,0.23357,0.15599,1.14315,0.00111985,0.000373285,0.00111985,0.000373285,0.00111985,0.000373285,0.00111985,0.000373285
14,63.6248,0.80982,0.67531,0.23571,0.23447,0.17035,1.16381,0.00111818,0.000372725,0.00111818,0.000372725,0.00111818,0.000372725,0.00111818,0.000372725
15,68.1142,0.77643,0.82823,0.23571,0.22588,0.17125,1.13269,0.0011165,0.000372166,0.0011165,0.000372166,0.0011165,0.000372166,0.0011165,0.000372166
16,72.2853,0.84056,0.83054,0.23571,0.23833,0.18221,1.12821,0.00111482,0.000371606,0.00111482,0.000371606,0.00111482,0.000371606,0.00111482,0.000371606
17,76.6749,0.95972,0.68626,0.23571,0.24044,0.17944,1.12268,0.00111314,0.000371046,0.00111314,0.000371046,0.00111314,0.000371046,0.00111314,0.000371046
18,80.8983,0.74586,0.75464,0.27032,0.26145,0.19513,1.13875,0.00111146,0.000370487,0.00111146,0.000370487,0.00111146,0.000370487,0.00111146,0.000370487
19,85.1198,0.7548,0.7342,0.27143,0.26112,0.19448,1.14646,0.00110978,0.000369927,0.00110978,0.000369927,0.00110978,0.000369927,0.00110978,0.000369927
20,89.3027,0.77198,0.71093,0.27143,0.26044,0.19925,1.17719,0.0011081,0.000369368,0.0011081,0.000369368,0.0011081,0.000369368,0.0011081,0.000369368
21,93.5484,0.67838,0.71988,0.27143,0.27161,0.21069,1.19378,0.00110642,0.000368808,0.00110642,0.000368808,0.00110642,0.000368808,0.00110642,0.000368808
22,97.6223,0.90387,0.72422,0.27143,0.29334,0.21788,1.16272,0.00110475,0.000368248,0.00110475,0.000368248,0.00110475,0.000368248,0.00110475,0.000368248
23,102.159,0.78244,0.73448,0.27143,0.29064,0.21618,1.20447,0.00110307,0.000367689,0.00110307,0.000367689,0.00110307,0.000367689,0.00110307,0.000367689
24,106.464,0.56823,0.73662,0.27143,0.29997,0.21856,1.17915,0.00110139,0.000367129,0.00110139,0.000367129,0.00110139,0.000367129,0.00110139,0.000367129
