epoch,time,train/Loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/Loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,4.80888,1.87224,0.08473,0.03571,0.04248,0.03823,0.94831,0.00114,0.00038,0.00114,0.00038,0.00114,0.00038,0.00114,0.00038
2,9.96947,2.05437,0.67585,0.03571,0.04248,0.03823,0.96693,0.00113832,0.00037944,0.00113832,0.00037944,0.00113832,0.00037944,0.00113832,0.00037944
3,14.1704,1.74761,0.03639,0.23571,0.05237,0.04713,0.97157,0.00113664,0.000378881,0.00113664,0.000378881,0.00113664,0.000378881,0.00113664,0.000378881
4,18.7286,1.70677,0.82119,0.06429,0.05621,0.04988,0.99415,0.00113496,0.000378321,0.00113496,0.000378321,0.00113496,0.000378321,0.00113496,0.000378321
5,22.9575,1.48588,0.84871,0.09065,0.06129,0.05488,0.99221,0.00113328,0.000377762,0.00113328,0.000377762,0.00113328,0.000377762,0.00113328,0.000377762
6,27.0907,1.3859,0.86933,0.09286,0.06217,0.05558,1.00076,0.00113161,0.000377202,0.00113161,0.000377202,0.00113161,0.000377202,0.00113161,0.000377202
7,31.1354,1.18388,0.89121,0.09286,0.20071,0.15079,1.00769,0.00112993,0.000376642,0.00112993,0.000376642,0.00112993,0.000376642,0.00112993,0.000376642
8,35.4179,1.42381,0.91707,0.09286,0.21012,0.16017,1.01758,0.00112825,0.000376083,0.00112825,0.000376083,0.00112825,0.000376083,0.00112825,0.000376083
9,39.6551,1.14512,0.9349,0.09045,0.22604,0.16669,1.03401,0.00112657,0.000375523,0.00112657,0.000375523,0.00112657,0.000375523,0.00112657,0.000375523
10,43.9887,1.08503,0.88812,0.09286,0.21942,0.16476,1.0945,0.00112489,0.000374964,0.00112489,0.000374964,0.00112489,0.000374964,0.00112489,0.000374964
11,48.1624,0.94801,0.63151,0.09286,0.22781,0.1627,1.10555,0.00112321,0.000374404,0.00112321,0.000374404,0.00112321,0.000374404,0.00112321,0.000374404
12,52.3819,1.03413,0.60363,0.23571,0.23088,0.1592,1.11573,0.00112153,0.000373844,0.00112153,0.000373844,0.00112153,0.000373844,0.00112153,0.000373844
13,56.7629,1.18821,0.59993,0.23571,0.23544,0.16042,1.14995,0.00111985,0.000373285,0.00111985,0.000373285,0.00111985,0.000373285,0.00111985,0.000373285
14,60.9893,0.85172,0.81622,0.23571,0.23401,0.16564,1.17982,0.00111818,0.000372725,0.00111818,0.000372725,0.00111818,0.000372725,0.00111818,0.000372725
15,64.9243,0.85766,0.81916,0.23571,0.23371,0.16827,1.15648,0.0011165,0.000372166,0.0011165,0.000372166,0.0011165,0.000372166,0.0011165,0.000372166
16,69.5817,0.81276,0.67112,0.23571,0.24016,0.17607,1.14574,0.00111482,0.000371606,0.00111482,0.000371606,0.00111482,0.000371606,0.00111482,0.000371606
17,73.9056,0.97055,0.6681,0.23571,0.25906,0.18704,1.16383,0.00111314,0.000371046,0.00111314,0.000371046,0.00111314,0.000371046,0.00111314,0.000371046
18,78.2193,0.787,0.74295,0.27131,0.27269,0.19081,1.20251,0.00111146,0.000370487,0.00111146,0.000370487,0.00111146,0.000370487,0.00111146,0.000370487
19,82.764,0.7901,0.71434,0.27143,0.26543,0.19947,1.20878,0.00110978,0.000369927,0.00110978,0.000369927,0.00110978,0.000369927,0.00110978,0.000369927
20,87.1597,0.76879,0.69722,0.27143,0.26676,0.20005,1.23941,0.0011081,0.000369368,0.0011081,0.000369368,0.0011081,0.000369368,0.0011081,0.000369368
21,91.4997,0.66743,0.69298,0.27143,0.2706,0.20092,1.24537,0.00110642,0.000368808,0.00110642,0.000368808,0.00110642,0.000368808,0.00110642,0.000368808
22,96.0279,0.90052,0.69491,0.27143,0.27211,0.20237,1.22995,0.00110475,0.000368248,0.00110475,0.000368248,0.00110475,0.000368248,0.00110475,0.000368248
23,100.643,0.82803,0.84808,0.27143,0.27751,0.20698,1.25685,0.00110307,0.000367689,0.00110307,0.000367689,0.00110307,0.000367689,0.00110307,0.000367689
24,105.111,0.61665,0.8552,0.27143,0.29964,0.22491,1.26941,0.00110139,0.000367129,0.00110139,0.000367129,0.00110139,0.000367129,0.00110139,0.000367129
25,109.54,0.61422,0.85669,0.27143,0.3034,0.22824,1.24219,0.00109971,0.00036657,0.00109971,0.00036657,0.00109971,0.00036657,0.00109971,0.00036657
26,114.196,0.603,0.85439,0.27143,0.30225,0.23141,1.25665,0.00109803,0.00036601,0.00109803,0.00036601,0.00109803,0.00036601,0.00109803,0.00036601
27,118.553,0.6789,0.85224,0.27143,0.30991,0.24149,1.21937,0.00109635,0.00036545,0.00109635,0.00036545,0.00109635,0.00036545,0.00109635,0.00036545
28,122.76,0.57484,0.70426,0.27143,0.31214,0.24149,1.23282,0.00109467,0.000364891,0.00109467,0.000364891,0.00109467,0.000364891,0.00109467,0.000364891
29,126.901,0.52093,0.6946,0.27143,0.3183,0.24705,1.20594,0.00109299,0.000364331,0.00109299,0.000364331,0.00109299,0.000364331,0.00109299,0.000364331
30,131.542,0.5327,0.54785,0.27889,0.3335,0.25231,1.22677,0.00109132,0.000363772,0.00109132,0.000363772,0.00109132,0.000363772,0.00109132,0.000363772
31,135.551,0.47591,0.55944,0.31103,0.33747,0.2504,1.26686,0.00108964,0.000363212,0.00108964,0.000363212,0.00108964,0.000363212,0.00108964,0.000363212
32,139.904,0.5557,0.56633,0.34169,0.33877,0.25119,1.24877,0.00108796,0.000362652,0.00108796,0.000362652,0.00108796,0.000362652,0.00108796,0.000362652
33,144.066,0.68276,0.70884,0.3366,0.34076,0.24452,1.2376,0.00108628,0.000362093,0.00108628,0.000362093,0.00108628,0.000362093,0.00108628,0.000362093
34,148.081,0.43274,0.70268,0.32228,0.35772,0.26233,1.19985,0.0010846,0.000361533,0.0010846,0.000361533,0.0010846,0.000361533,0.0010846,0.000361533
35,152.258,0.42753,0.70313,0.31871,0.35931,0.26822,1.16172,0.00108292,0.000360974,0.00108292,0.000360974,0.00108292,0.000360974,0.00108292,0.000360974
36,156.645,0.48858,0.6925,0.3133,0.36109,0.27211,1.16076,0.00108124,0.000360414,0.00108124,0.000360414,0.00108124,0.000360414,0.00108124,0.000360414
37,160.771,0.49392,0.71084,0.31096,0.37265,0.28424,1.16819,0.00107956,0.000359854,0.00107956,0.000359854,0.00107956,0.000359854,0.00107956,0.000359854
38,165.233,0.44834,0.72751,0.31175,0.37799,0.28483,1.19035,0.00107788,0.000359295,0.00107788,0.000359295,0.00107788,0.000359295,0.00107788,0.000359295
39,169.838,0.44448,0.73743,0.31244,0.36192,0.29071,1.14037,0.00107621,0.000358735,0.00107621,0.000358735,0.00107621,0.000358735,0.00107621,0.000358735
40,173.956,0.42415,0.73339,0.31329,0.3586,0.28555,1.17293,0.00107453,0.000358176,0.00107453,0.000358176,0.00107453,0.000358176,0.00107453,0.000358176
41,178.14,0.371,0.72127,0.31312,0.35967,0.26422,1.25646,0.00107285,0.000357616,0.00107285,0.000357616,0.00107285,0.000357616,0.00107285,0.000357616
42,182.551,0.48425,0.71555,0.31355,0.35888,0.28404,1.23378,0.00107117,0.000357057,0.00107117,0.000357057,0.00107117,0.000357057,0.00107117,0.000357057
43,186.603,0.44905,0.70374,0.3137,0.35964,0.28127,1.26991,0.00106949,0.000356497,0.00106949,0.000356497,0.00106949,0.000356497,0.00106949,0.000356497
44,191.219,0.42015,0.70581,0.31375,0.35971,0.28546,1.27962,0.00106781,0.000355937,0.00106781,0.000355937,0.00106781,0.000355937,0.00106781,0.000355937
45,195.656,0.3439,0.69632,0.31432,0.34448,0.27939,1.27035,0.00106613,0.000355378,0.00106613,0.000355378,0.00106613,0.000355378,0.00106613,0.000355378
46,199.757,0.48578,0.70252,0.31457,0.34652,0.27694,1.24981,0.00106445,0.000354818,0.00106445,0.000354818,0.00106445,0.000354818,0.00106445,0.000354818
47,204.095,0.42821,0.70362,0.31471,0.34631,0.27757,1.26488,0.00106278,0.000354259,0.00106278,0.000354259,0.00106278,0.000354259,0.00106278,0.000354259
48,208.234,0.42305,0.74473,0.31476,0.36281,0.29186,1.24122,0.0010611,0.000353699,0.0010611,0.000353699,0.0010611,0.000353699,0.0010611,0.000353699
49,212.418,0.34879,0.74364,0.31473,0.36325,0.29064,1.21308,0.00105942,0.000353139,0.00105942,0.000353139,0.00105942,0.000353139,0.00105942,0.000353139
50,216.51,0.45064,0.71199,0.31477,0.3478,0.27243,1.2148,0.00105774,0.00035258,0.00105774,0.00035258,0.00105774,0.00035258,0.00105774,0.00035258
51,220.929,0.34262,0.71374,0.31505,0.34697,0.2766,1.21264,0.00105606,0.00035202,0.00105606,0.00035202,0.00105606,0.00035202,0.00105606,0.00035202
52,224.977,0.41198,0.70846,0.31532,0.34705,0.27649,1.20157,0.00105438,0.000351461,0.00105438,0.000351461,0.00105438,0.000351461,0.00105438,0.000351461
53,229.485,0.40108,0.69379,0.31541,0.35063,0.27971,1.23483,0.0010527,0.000350901,0.0010527,0.000350901,0.0010527,0.000350901,0.0010527,0.000350901
54,233.927,0.31148,0.69789,0.31525,0.34991,0.28081,1.26338,0.00105102,0.000350341,0.00105102,0.000350341,0.00105102,0.000350341,0.00105102,0.000350341
55,237.95,0.27985,0.70009,0.31511,0.35093,0.28117,1.27614,0.00104935,0.000349782,0.00104935,0.000349782,0.00104935,0.000349782,0.00104935,0.000349782
56,242.442,0.3761,0.70494,0.31449,0.34722,0.27783,1.25475,0.00104767,0.000349222,0.00104767,0.000349222,0.00104767,0.000349222,0.00104767,0.000349222
57,246.832,0.35501,0.70265,0.31487,0.34497,0.26757,1.29326,0.00104599,0.000348663,0.00104599,0.000348663,0.00104599,0.000348663,0.00104599,0.000348663
