epoch,time,train/Loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/Loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,4.26446,1.87133,0.08468,0.03571,0.04248,0.03823,0.94862,0.00114,0.00038,0.00114,0.00038,0.00114,0.00038,0.00114,0.00038
2,8.90428,2.05574,0.67612,0.03571,0.04248,0.03823,0.96515,0.00113832,0.00037944,0.00113832,0.00037944,0.00113832,0.00037944,0.00113832,0.00037944
3,13.0332,1.74512,0.03561,0.23571,0.05237,0.04713,0.98232,0.00113664,0.000378881,0.00113664,0.000378881,0.00113664,0.000378881,0.00113664,0.000378881
4,17.5066,1.70254,0.82239,0.06429,0.05823,0.0517,0.98332,0.00113496,0.000378321,0.00113496,0.000378321,0.00113496,0.000378321,0.00113496,0.000378321
5,22.0178,1.48445,0.85122,0.0913,0.06171,0.05475,0.98904,0.00113328,0.000377762,0.00113328,0.000377762,0.00113328,0.000377762,0.00113328,0.000377762
6,26.5154,1.35337,0.87334,0.09286,0.06171,0.05521,1.00535,0.00113161,0.000377202,0.00113161,0.000377202,0.00113161,0.000377202,0.00113161,0.000377202
7,30.4379,1.16492,0.89326,0.09286,0.19595,0.14698,1.01091,0.00112993,0.000376642,0.00112993,0.000376642,0.00112993,0.000376642,0.00112993,0.000376642
8,35.032,1.36352,0.9164,0.09286,0.20933,0.16096,0.99786,0.00112825,0.000376083,0.00112825,0.000376083,0.00112825,0.000376083,0.00112825,0.000376083
9,39.3094,1.15108,0.90454,0.09286,0.21719,0.16725,1.01466,0.00112657,0.000375523,0.00112657,0.000375523,0.00112657,0.000375523,0.00112657,0.000375523
10,43.4607,1.07319,0.88915,0.09286,0.21891,0.16767,1.02197,0.00112489,0.000374964,0.00112489,0.000374964,0.00112489,0.000374964,0.00112489,0.000374964
11,47.8083,0.93786,0.87804,0.09286,0.2212,0.16841,1.04912,0.00112321,0.000374404,0.00112321,0.000374404,0.00112321,0.000374404,0.00112321,0.000374404
12,51.7316,0.96523,0.62525,0.23571,0.22915,0.16837,1.10801,0.00112153,0.000373844,0.00112153,0.000373844,0.00112153,0.000373844,0.00112153,0.000373844
13,56.159,1.16151,0.58336,0.23571,0.23411,0.16994,1.145,0.00111985,0.000373285,0.00111985,0.000373285,0.00111985,0.000373285,0.00111985,0.000373285
14,60.429,0.8445,0.62844,0.23571,0.23842,0.16914,1.16669,0.00111818,0.000372725,0.00111818,0.000372725,0.00111818,0.000372725,0.00111818,0.000372725
15,64.4152,0.79382,0.78834,0.24609,0.24271,0.17456,1.15727,0.0011165,0.000372166,0.0011165,0.000372166,0.0011165,0.000372166,0.0011165,0.000372166
16,68.8159,0.78826,0.78417,0.24719,0.25285,0.1795,1.13274,0.00111482,0.000371606,0.00111482,0.000371606,0.00111482,0.000371606,0.00111482,0.000371606
17,73.3842,0.92999,0.78626,0.27143,0.27806,0.20616,1.1568,0.00111314,0.000371046,0.00111314,0.000371046,0.00111314,0.000371046,0.00111314,0.000371046
18,77.7232,0.76031,0.7964,0.27143,0.27958,0.20304,1.19311,0.00111146,0.000370487,0.00111146,0.000370487,0.00111146,0.000370487,0.00111146,0.000370487
19,81.9957,0.77707,0.80301,0.27143,0.27941,0.19744,1.22777,0.00110978,0.000369927,0.00110978,0.000369927,0.00110978,0.000369927,0.00110978,0.000369927
20,86.4366,0.75632,0.80937,0.27143,0.27869,0.20546,1.18927,0.0011081,0.000369368,0.0011081,0.000369368,0.0011081,0.000369368,0.0011081,0.000369368
21,91.0514,0.6955,0.81898,0.27143,0.26911,0.19924,1.20391,0.00110642,0.000368808,0.00110642,0.000368808,0.00110642,0.000368808,0.00110642,0.000368808
22,95.4372,0.86099,0.84716,0.27143,0.27122,0.19674,1.19381,0.00110475,0.000368248,0.00110475,0.000368248,0.00110475,0.000368248,0.00110475,0.000368248
23,99.4775,0.8026,0.85017,0.27143,0.28859,0.20906,1.19452,0.00110307,0.000367689,0.00110307,0.000367689,0.00110307,0.000367689,0.00110307,0.000367689
24,103.831,0.60328,0.85227,0.27143,0.29999,0.22163,1.19808,0.00110139,0.000367129,0.00110139,0.000367129,0.00110139,0.000367129,0.00110139,0.000367129
25,107.835,0.59093,0.85,0.27143,0.30318,0.2221,1.20141,0.00109971,0.00036657,0.00109971,0.00036657,0.00109971,0.00036657,0.00109971,0.00036657
26,112.364,0.58189,0.84624,0.27143,0.30559,0.22054,1.18903,0.00109803,0.00036601,0.00109803,0.00036601,0.00109803,0.00036601,0.00109803,0.00036601
27,116.553,0.66873,0.84517,0.27143,0.31142,0.23186,1.22565,0.00109635,0.00036545,0.00109635,0.00036545,0.00109635,0.00036545,0.00109635,0.00036545
28,120.514,0.55554,0.84198,0.27143,0.31408,0.23293,1.25201,0.00109467,0.000364891,0.00109467,0.000364891,0.00109467,0.000364891,0.00109467,0.000364891
29,124.793,0.5167,0.83816,0.27143,0.33032,0.24104,1.21979,0.00109299,0.000364331,0.00109299,0.000364331,0.00109299,0.000364331,0.00109299,0.000364331
30,128.676,0.50433,0.83445,0.27143,0.308,0.23747,1.23522,0.00109132,0.000363772,0.00109132,0.000363772,0.00109132,0.000363772,0.00109132,0.000363772
31,133.42,0.44253,0.82875,0.27143,0.33554,0.24824,1.25472,0.00108964,0.000363212,0.00108964,0.000363212,0.00108964,0.000363212,0.00108964,0.000363212
32,137.911,0.49264,0.83029,0.27143,0.34803,0.26737,1.25769,0.00108796,0.000362652,0.00108796,0.000362652,0.00108796,0.000362652,0.00108796,0.000362652
33,142.239,0.6149,0.82906,0.27143,0.34766,0.26957,1.24555,0.00108628,0.000362093,0.00108628,0.000362093,0.00108628,0.000362093,0.00108628,0.000362093
34,146.681,0.40913,0.69916,0.28036,0.3466,0.27307,1.24602,0.0010846,0.000361533,0.0010846,0.000361533,0.0010846,0.000361533,0.0010846,0.000361533
35,150.55,0.41016,0.74243,0.30783,0.36945,0.29135,1.23517,0.00108292,0.000360974,0.00108292,0.000360974,0.00108292,0.000360974,0.00108292,0.000360974
36,155.059,0.47729,0.74391,0.35784,0.35351,0.27513,1.22367,0.00108124,0.000360414,0.00108124,0.000360414,0.00108124,0.000360414,0.00108124,0.000360414
37,159.025,0.47226,0.73124,0.36667,0.34233,0.27395,1.25718,0.00107956,0.000359854,0.00107956,0.000359854,0.00107956,0.000359854,0.00107956,0.000359854
38,163.259,0.46729,0.71349,0.36667,0.34869,0.26866,1.2736,0.00107788,0.000359295,0.00107788,0.000359295,0.00107788,0.000359295,0.00107788,0.000359295
39,167.845,0.40473,0.71249,0.36667,0.34864,0.27447,1.25055,0.00107621,0.000358735,0.00107621,0.000358735,0.00107621,0.000358735,0.00107621,0.000358735
40,171.838,0.40039,0.72157,0.36667,0.36258,0.28819,1.26186,0.00107453,0.000358176,0.00107453,0.000358176,0.00107453,0.000358176,0.00107453,0.000358176
41,176.294,0.35858,0.72741,0.36667,0.36946,0.28847,1.25786,0.00107285,0.000357616,0.00107285,0.000357616,0.00107285,0.000357616,0.00107285,0.000357616
42,180.672,0.46219,0.728,0.36752,0.37106,0.29118,1.28166,0.00107117,0.000357057,0.00107117,0.000357057,0.00107117,0.000357057,0.00107117,0.000357057
43,184.854,0.43962,0.72753,0.36667,0.35754,0.27707,1.28586,0.00106949,0.000356497,0.00106949,0.000356497,0.00106949,0.000356497,0.00106949,0.000356497
44,189.16,0.4136,0.7329,0.38002,0.35624,0.28416,1.22796,0.00106781,0.000355937,0.00106781,0.000355937,0.00106781,0.000355937,0.00106781,0.000355937
45,193.194,0.3398,0.74292,0.40238,0.35513,0.27873,1.2374,0.00106613,0.000355378,0.00106613,0.000355378,0.00106613,0.000355378,0.00106613,0.000355378
46,197.337,0.46491,0.74398,0.40238,0.36251,0.28838,1.27159,0.00106445,0.000354818,0.00106445,0.000354818,0.00106445,0.000354818,0.00106445,0.000354818
47,201.777,0.38749,0.74348,0.40238,0.36251,0.28869,1.23716,0.00106278,0.000354259,0.00106278,0.000354259,0.00106278,0.000354259,0.00106278,0.000354259
48,205.984,0.40989,0.74542,0.40238,0.36249,0.29261,1.18797,0.0010611,0.000353699,0.0010611,0.000353699,0.0010611,0.000353699,0.0010611,0.000353699
49,210.563,0.34042,0.75202,0.40238,0.36168,0.28841,1.21273,0.00105942,0.000353139,0.00105942,0.000353139,0.00105942,0.000353139,0.00105942,0.000353139
50,214.722,0.4187,0.75517,0.40238,0.36171,0.28487,1.22315,0.00105774,0.00035258,0.00105774,0.00035258,0.00105774,0.00035258,0.00105774,0.00035258
51,218.838,0.30159,0.75912,0.40238,0.35627,0.28681,1.24294,0.00105606,0.00035202,0.00105606,0.00035202,0.00105606,0.00035202,0.00105606,0.00035202
52,222.993,0.38205,0.76195,0.40238,0.35148,0.27911,1.25782,0.00105438,0.000351461,0.00105438,0.000351461,0.00105438,0.000351461,0.00105438,0.000351461
53,226.802,0.35349,0.76394,0.40221,0.35146,0.27909,1.26956,0.0010527,0.000350901,0.0010527,0.000350901,0.0010527,0.000350901,0.0010527,0.000350901
54,231.253,0.31216,0.76114,0.40238,0.36158,0.2821,1.2278,0.00105102,0.000350341,0.00105102,0.000350341,0.00105102,0.000350341,0.00105102,0.000350341
55,235.79,0.28556,0.75833,0.39863,0.36158,0.28604,1.24514,0.00104935,0.000349782,0.00104935,0.000349782,0.00104935,0.000349782,0.00104935,0.000349782
56,240.1,0.35953,0.75288,0.38514,0.36161,0.28606,1.23337,0.00104767,0.000349222,0.00104767,0.000349222,0.00104767,0.000349222,0.00104767,0.000349222
57,244.399,0.33281,0.74577,0.37603,0.36171,0.28315,1.271,0.00104599,0.000348663,0.00104599,0.000348663,0.00104599,0.000348663,0.00104599,0.000348663
58,248.375,0.37374,0.7481,0.38876,0.36107,0.2857,1.25332,0.00104431,0.000348103,0.00104431,0.000348103,0.00104431,0.000348103,0.00104431,0.000348103
59,252.996,0.3237,0.75281,0.40238,0.36174,0.28101,1.28221,0.00104263,0.000347543,0.00104263,0.000347543,0.00104263,0.000347543,0.00104263,0.000347543
60,257.033,0.34509,0.75296,0.40238,0.36175,0.2822,1.31409,0.00104095,0.000346984,0.00104095,0.000346984,0.00104095,0.000346984,0.00104095,0.000346984
61,261.721,0.32049,0.75208,0.40238,0.36102,0.28686,1.30238,0.00103927,0.000346424,0.00103927,0.000346424,0.00103927,0.000346424,0.00103927,0.000346424
62,266.219,0.34945,0.75543,0.40238,0.36046,0.2818,1.27926,0.00103759,0.000345865,0.00103759,0.000345865,0.00103759,0.000345865,0.00103759,0.000345865
63,270.177,0.36066,0.75508,0.40238,0.36111,0.28218,1.27232,0.00103591,0.000345305,0.00103591,0.000345305,0.00103591,0.000345305,0.00103591,0.000345305
64,274.549,0.28844,0.76046,0.39561,0.36114,0.28125,1.2629,0.00103424,0.000344745,0.00103424,0.000344745,0.00103424,0.000344745,0.00103424,0.000344745
65,278.528,0.25192,0.76237,0.39388,0.36121,0.28226,1.26341,0.00103256,0.000344186,0.00103256,0.000344186,0.00103256,0.000344186,0.00103256,0.000344186
66,282.745,0.31338,0.77662,0.38844,0.37012,0.29027,1.24631,0.00103088,0.000343626,0.00103088,0.000343626,0.00103088,0.000343626,0.00103088,0.000343626
