epoch,time,train/Loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/Loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,4.24604,1.87147,0.08359,0.03571,0.04248,0.03823,0.94743,0.00114,0.00038,0.00114,0.00038,0.00114,0.00038,0.00114,0.00038
2,8.67413,2.05369,0.67602,0.03571,0.04248,0.03823,0.96368,0.00113832,0.00037944,0.00113832,0.00037944,0.00113832,0.00037944,0.00113832,0.00037944
3,12.5075,1.74996,0.03639,0.23571,0.05237,0.04713,0.96871,0.00113664,0.000378881,0.00113664,0.000378881,0.00113664,0.000378881,0.00113664,0.000378881
4,16.3839,1.71028,0.82166,0.06429,0.05823,0.0517,0.97813,0.00113496,0.000378321,0.00113496,0.000378321,0.00113496,0.000378321,0.00113496,0.000378321
5,20.2354,1.48684,0.85015,0.09075,0.06171,0.05475,0.99017,0.00113328,0.000377762,0.00113328,0.000377762,0.00113328,0.000377762,0.00113328,0.000377762
6,24.0329,1.3989,0.8689,0.09286,0.06129,0.05488,1.00529,0.00113161,0.000377202,0.00113161,0.000377202,0.00113161,0.000377202,0.00113161,0.000377202
7,28.4464,1.2318,0.89018,0.09286,0.20543,0.15597,1.02129,0.00112993,0.000376642,0.00112993,0.000376642,0.00112993,0.000376642,0.00112993,0.000376642
8,32.1999,1.4175,0.91731,0.09286,0.20956,0.15879,1.02886,0.00112825,0.000376083,0.00112825,0.000376083,0.00112825,0.000376083,0.00112825,0.000376083
9,36.0555,1.17884,0.90814,0.09286,0.21664,0.1658,1.05708,0.00112657,0.000375523,0.00112657,0.000375523,0.00112657,0.000375523,0.00112657,0.000375523
10,39.8181,1.20885,0.87171,0.09286,0.21378,0.16347,1.06075,0.00112489,0.000374964,0.00112489,0.000374964,0.00112489,0.000374964,0.00112489,0.000374964
11,43.6885,0.99248,0.63967,0.09286,0.21315,0.16258,1.05772,0.00112321,0.000374404,0.00112321,0.000374404,0.00112321,0.000374404,0.00112321,0.000374404
12,47.3301,0.9988,0.64408,0.09286,0.21996,0.16405,1.06899,0.00112153,0.000373844,0.00112153,0.000373844,0.00112153,0.000373844,0.00112153,0.000373844
13,51.1575,1.17433,0.60002,0.23571,0.22653,0.16278,1.09805,0.00111985,0.000373285,0.00111985,0.000373285,0.00111985,0.000373285,0.00111985,0.000373285
14,54.7781,0.931,0.62527,0.23571,0.22723,0.16932,1.1224,0.00111818,0.000372725,0.00111818,0.000372725,0.00111818,0.000372725,0.00111818,0.000372725
15,58.6839,0.85525,0.77681,0.23571,0.22999,0.17066,1.10489,0.0011165,0.000372166,0.0011165,0.000372166,0.0011165,0.000372166,0.0011165,0.000372166
16,62.459,0.84345,0.75754,0.23571,0.2443,0.18317,1.12463,0.00111482,0.000371606,0.00111482,0.000371606,0.00111482,0.000371606,0.00111482,0.000371606
17,66.1992,1.0026,0.59877,0.23571,0.24792,0.18538,1.15634,0.00111314,0.000371046,0.00111314,0.000371046,0.00111314,0.000371046,0.00111314,0.000371046
18,70.0482,0.79726,0.59922,0.27143,0.20091,0.15444,1.16942,0.00111146,0.000370487,0.00111146,0.000370487,0.00111146,0.000370487,0.00111146,0.000370487
19,73.884,0.83031,0.74217,0.27143,0.2716,0.20055,1.17961,0.00110978,0.000369927,0.00110978,0.000369927,0.00110978,0.000369927,0.00110978,0.000369927
20,77.7026,0.78514,0.73902,0.27143,0.27422,0.19922,1.18811,0.0011081,0.000369368,0.0011081,0.000369368,0.0011081,0.000369368,0.0011081,0.000369368
21,81.4955,0.72434,0.75516,0.27143,0.27434,0.2007,1.20989,0.00110642,0.000368808,0.00110642,0.000368808,0.00110642,0.000368808,0.00110642,0.000368808
22,85.2656,0.88892,0.78794,0.27143,0.27842,0.19864,1.20078,0.00110475,0.000368248,0.00110475,0.000368248,0.00110475,0.000368248,0.00110475,0.000368248
23,89.2173,0.87418,0.80809,0.27143,0.28281,0.20487,1.22888,0.00110307,0.000367689,0.00110307,0.000367689,0.00110307,0.000367689,0.00110307,0.000367689
24,93.0299,0.62728,0.8095,0.27143,0.28298,0.20433,1.23148,0.00110139,0.000367129,0.00110139,0.000367129,0.00110139,0.000367129,0.00110139,0.000367129
25,96.7346,0.66049,0.8277,0.27143,0.29501,0.22017,1.18964,0.00109971,0.00036657,0.00109971,0.00036657,0.00109971,0.00036657,0.00109971,0.00036657
26,101.231,0.59765,0.82716,0.27143,0.29679,0.22461,1.23178,0.00109803,0.00036601,0.00109803,0.00036601,0.00109803,0.00036601,0.00109803,0.00036601
27,105.071,0.695,0.82213,0.27143,0.30341,0.22802,1.23008,0.00109635,0.00036545,0.00109635,0.00036545,0.00109635,0.00036545,0.00109635,0.00036545
28,108.898,0.60953,0.81444,0.27143,0.31031,0.23373,1.22978,0.00109467,0.000364891,0.00109467,0.000364891,0.00109467,0.000364891,0.00109467,0.000364891
29,112.702,0.5213,0.80156,0.27143,0.33004,0.25231,1.21245,0.00109299,0.000364331,0.00109299,0.000364331,0.00109299,0.000364331,0.00109299,0.000364331
30,116.494,0.51664,0.79493,0.27143,0.34781,0.26495,1.21692,0.00109132,0.000363772,0.00109132,0.000363772,0.00109132,0.000363772,0.00109132,0.000363772
31,120.271,0.50029,0.77332,0.27143,0.34745,0.26679,1.24973,0.00108964,0.000363212,0.00108964,0.000363212,0.00108964,0.000363212,0.00108964,0.000363212
32,124.072,0.52389,0.77554,0.32458,0.3795,0.30984,1.26544,0.00108796,0.000362652,0.00108796,0.000362652,0.00108796,0.000362652,0.00108796,0.000362652
33,127.965,0.65746,0.75132,0.36667,0.3793,0.30288,1.31058,0.00108628,0.000362093,0.00108628,0.000362093,0.00108628,0.000362093,0.00108628,0.000362093
34,131.758,0.41517,0.74607,0.36667,0.37936,0.30584,1.30652,0.0010846,0.000361533,0.0010846,0.000361533,0.0010846,0.000361533,0.0010846,0.000361533
35,135.528,0.43848,0.77646,0.36667,0.39436,0.31186,1.31282,0.00108292,0.000360974,0.00108292,0.000360974,0.00108292,0.000360974,0.00108292,0.000360974
