epoch,time,train/Loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/Loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,4.06831,1.87054,0.08474,0.03571,0.04248,0.03823,0.94868,0.00114,0.00038,0.00114,0.00038,0.00114,0.00038,0.00114,0.00038
2,8.22301,2.05389,0.67643,0.03571,0.04248,0.03823,0.97036,0.00113832,0.00037944,0.00113832,0.00037944,0.00113832,0.00037944,0.00113832,0.00037944
3,11.8314,1.74498,0.03595,0.23571,0.05325,0.04792,0.98341,0.00113664,0.000378881,0.00113664,0.000378881,0.00113664,0.000378881,0.00113664,0.000378881
4,15.7235,1.69677,0.82266,0.06429,0.05823,0.0517,1.0035,0.00113496,0.000378321,0.00113496,0.000378321,0.00113496,0.000378321,0.00113496,0.000378321
5,19.3616,1.49522,0.85026,0.09097,0.06129,0.05441,1.00763,0.00113328,0.000377762,0.00113328,0.000377762,0.00113328,0.000377762,0.00113328,0.000377762
6,23.1114,1.39087,0.87026,0.09286,0.06217,0.05558,1.01739,0.00113161,0.000377202,0.00113161,0.000377202,0.00113161,0.000377202,0.00113161,0.000377202
7,26.7852,1.25705,0.89086,0.09286,0.19595,0.14698,1.0289,0.00112993,0.000376642,0.00112993,0.000376642,0.00112993,0.000376642,0.00112993,0.000376642
8,30.5477,1.40361,0.91872,0.09286,0.20933,0.15953,1.02392,0.00112825,0.000376083,0.00112825,0.000376083,0.00112825,0.000376083,0.00112825,0.000376083
9,34.2954,1.12553,0.93594,0.09105,0.22613,0.17534,1.01703,0.00112657,0.000375523,0.00112657,0.000375523,0.00112657,0.000375523,0.00112657,0.000375523
10,38.0943,1.07838,0.89015,0.09286,0.21797,0.16762,1.0368,0.00112489,0.000374964,0.00112489,0.000374964,0.00112489,0.000374964,0.00112489,0.000374964
11,41.8303,0.96884,0.87843,0.09286,0.21996,0.16484,1.05522,0.00112321,0.000374404,0.00112321,0.000374404,0.00112321,0.000374404,0.00112321,0.000374404
12,45.4738,1.02298,0.60533,0.23571,0.2209,0.167,1.10671,0.00112153,0.000373844,0.00112153,0.000373844,0.00112153,0.000373844,0.00112153,0.000373844
13,49.1647,1.16595,0.58074,0.23571,0.22249,0.16832,1.12175,0.00111985,0.000373285,0.00111985,0.000373285,0.00111985,0.000373285,0.00111985,0.000373285
14,53.2164,0.84909,0.66473,0.23571,0.22452,0.16943,1.15344,0.00111818,0.000372725,0.00111818,0.000372725,0.00111818,0.000372725,0.00111818,0.000372725
15,57.4495,0.80557,0.79983,0.23571,0.2266,0.16774,1.11516,0.0011165,0.000372166,0.0011165,0.000372166,0.0011165,0.000372166,0.0011165,0.000372166
16,62.0322,0.85188,0.62247,0.23571,0.23722,0.17732,1.10784,0.00111482,0.000371606,0.00111482,0.000371606,0.00111482,0.000371606,0.00111482,0.000371606
17,66.19,0.99374,0.5805,0.23571,0.2419,0.17715,1.15644,0.00111314,0.000371046,0.00111314,0.000371046,0.00111314,0.000371046,0.00111314,0.000371046
18,70.6221,0.82049,0.75004,0.27143,0.25069,0.191,1.15802,0.00111146,0.000370487,0.00111146,0.000370487,0.00111146,0.000370487,0.00111146,0.000370487
19,75.184,0.81867,0.63563,0.27143,0.26309,0.20405,1.12878,0.00110978,0.000369927,0.00110978,0.000369927,0.00110978,0.000369927,0.00110978,0.000369927
20,79.7933,0.79592,0.80909,0.27143,0.262,0.20312,1.14956,0.0011081,0.000369368,0.0011081,0.000369368,0.0011081,0.000369368,0.0011081,0.000369368
21,84.4764,0.692,0.81945,0.27143,0.26897,0.2061,1.24223,0.00110642,0.000368808,0.00110642,0.000368808,0.00110642,0.000368808,0.00110642,0.000368808
22,89.0745,0.86623,0.81031,0.27143,0.26056,0.19477,1.22955,0.00110475,0.000368248,0.00110475,0.000368248,0.00110475,0.000368248,0.00110475,0.000368248
23,93.8791,0.86251,0.82561,0.27143,0.26442,0.20166,1.22069,0.00110307,0.000367689,0.00110307,0.000367689,0.00110307,0.000367689,0.00110307,0.000367689
24,98.5354,0.61855,0.82764,0.27143,0.27868,0.20718,1.22702,0.00110139,0.000367129,0.00110139,0.000367129,0.00110139,0.000367129,0.00110139,0.000367129
25,103.175,0.55591,0.82811,0.27143,0.28161,0.20952,1.1981,0.00109971,0.00036657,0.00109971,0.00036657,0.00109971,0.00036657,0.00109971,0.00036657
26,107.793,0.57327,0.82854,0.27143,0.28057,0.20667,1.23518,0.00109803,0.00036601,0.00109803,0.00036601,0.00109803,0.00036601,0.00109803,0.00036601
