epoch,time,train/Loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/Loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,5.30848,1.87404,0.08472,0.03571,0.04248,0.03823,0.9472,0.00114,0.00038,0.00114,0.00038,0.00114,0.00038,0.00114,0.00038
2,10.6418,2.05674,0.67637,0.03571,0.04248,0.03823,0.96426,0.00113832,0.00037944,0.00113832,0.00037944,0.00113832,0.00037944,0.00113832,0.00037944
3,15.2573,1.76013,0.03622,0.23571,0.05237,0.04713,0.97728,0.00113664,0.000378881,0.00113664,0.000378881,0.00113664,0.000378881,0.00113664,0.000378881
4,19.8305,1.69445,0.82099,0.06429,0.05659,0.05018,0.97971,0.00113496,0.000378321,0.00113496,0.000378321,0.00113496,0.000378321,0.00113496,0.000378321
5,24.1293,1.48316,0.84705,0.09047,0.06129,0.05441,0.99919,0.00113328,0.000377762,0.00113328,0.000377762,0.00113328,0.000377762,0.00113328,0.000377762
6,28.6122,1.33999,0.86436,0.09286,0.06217,0.05558,1.01418,0.00113161,0.000377202,0.00113161,0.000377202,0.00113161,0.000377202,0.00113161,0.000377202
7,32.6296,1.1718,0.88621,0.09286,0.19595,0.14839,1.02851,0.00112993,0.000376642,0.00112993,0.000376642,0.00112993,0.000376642,0.00112993,0.000376642
8,37.1643,1.34521,0.91303,0.09286,0.20933,0.15422,1.02624,0.00112825,0.000376083,0.00112825,0.000376083,0.00112825,0.000376083,0.00112825,0.000376083
9,41.7387,1.12885,0.93382,0.09022,0.23517,0.16809,1.02709,0.00112657,0.000375523,0.00112657,0.000375523,0.00112657,0.000375523,0.00112657,0.000375523
10,46.2246,1.09661,0.88457,0.09286,0.22734,0.15434,1.03518,0.00112489,0.000374964,0.00112489,0.000374964,0.00112489,0.000374964,0.00112489,0.000374964
11,50.8285,0.98239,0.62714,0.23571,0.22896,0.15567,1.05281,0.00112321,0.000374404,0.00112321,0.000374404,0.00112321,0.000374404,0.00112321,0.000374404
12,55.2996,1.02566,0.58588,0.23571,0.23384,0.16459,1.104,0.00112153,0.000373844,0.00112153,0.000373844,0.00112153,0.000373844,0.00112153,0.000373844
13,59.9202,1.1533,0.63654,0.23571,0.2343,0.1662,1.10747,0.00111985,0.000373285,0.00111985,0.000373285,0.00111985,0.000373285,0.00111985,0.000373285
14,64.3371,0.78012,0.80687,0.23571,0.23869,0.17042,1.12111,0.00111818,0.000372725,0.00111818,0.000372725,0.00111818,0.000372725,0.00111818,0.000372725
15,68.8962,0.75054,0.80784,0.23571,0.23707,0.17882,1.09321,0.0011165,0.000372166,0.0011165,0.000372166,0.0011165,0.000372166,0.0011165,0.000372166
16,73.399,0.77884,0.80076,0.23571,0.23833,0.1798,1.14274,0.00111482,0.000371606,0.00111482,0.000371606,0.00111482,0.000371606,0.00111482,0.000371606
17,78.724,0.92247,0.79208,0.23571,0.25652,0.18426,1.16843,0.00111314,0.000371046,0.00111314,0.000371046,0.00111314,0.000371046,0.00111314,0.000371046
18,83.4766,0.76852,0.79588,0.27143,0.2529,0.19083,1.16806,0.00111146,0.000370487,0.00111146,0.000370487,0.00111146,0.000370487,0.00111146,0.000370487
19,88.1638,0.79339,0.80754,0.27143,0.25848,0.19451,1.14014,0.00110978,0.000369927,0.00110978,0.000369927,0.00110978,0.000369927,0.00110978,0.000369927
20,92.7931,0.75959,0.80648,0.27143,0.25775,0.19351,1.15246,0.0011081,0.000369368,0.0011081,0.000369368,0.0011081,0.000369368,0.0011081,0.000369368
21,97.3999,0.70386,0.66085,0.27143,0.2526,0.19001,1.19134,0.00110642,0.000368808,0.00110642,0.000368808,0.00110642,0.000368808,0.00110642,0.000368808
22,102.114,0.8922,0.51958,0.27143,0.27323,0.1955,1.20096,0.00110475,0.000368248,0.00110475,0.000368248,0.00110475,0.000368248,0.00110475,0.000368248
23,106.72,0.84138,0.65979,0.27143,0.27475,0.194,1.23861,0.00110307,0.000367689,0.00110307,0.000367689,0.00110307,0.000367689,0.00110307,0.000367689
24,111.181,0.5976,0.65552,0.27143,0.29426,0.21261,1.21556,0.00110139,0.000367129,0.00110139,0.000367129,0.00110139,0.000367129,0.00110139,0.000367129
25,115.717,0.55645,0.65125,0.27143,0.2959,0.21898,1.22328,0.00109971,0.00036657,0.00109971,0.00036657,0.00109971,0.00036657,0.00109971,0.00036657
26,120.345,0.57991,0.64858,0.27143,0.28434,0.21797,1.2252,0.00109803,0.00036601,0.00109803,0.00036601,0.00109803,0.00036601,0.00109803,0.00036601
27,124.825,0.67293,0.64417,0.27143,0.27426,0.20949,1.22807,0.00109635,0.00036545,0.00109635,0.00036545,0.00109635,0.00036545,0.00109635,0.00036545
28,129.429,0.58459,0.65587,0.28481,0.29203,0.22156,1.25178,0.00109467,0.000364891,0.00109467,0.000364891,0.00109467,0.000364891,0.00109467,0.000364891
29,134.298,0.52104,0.64551,0.27143,0.28714,0.22205,1.21538,0.00109299,0.000364331,0.00109299,0.000364331,0.00109299,0.000364331,0.00109299,0.000364331
30,138.989,0.53056,0.78667,0.27143,0.30254,0.22819,1.25464,0.00109132,0.000363772,0.00109132,0.000363772,0.00109132,0.000363772,0.00109132,0.000363772
31,143.678,0.46042,0.77775,0.27143,0.30243,0.23178,1.31923,0.00108964,0.000363212,0.00108964,0.000363212,0.00108964,0.000363212,0.00108964,0.000363212
32,148.478,0.51307,0.77506,0.27143,0.30587,0.23784,1.3143,0.00108796,0.000362652,0.00108796,0.000362652,0.00108796,0.000362652,0.00108796,0.000362652
33,153.009,0.66123,0.7805,0.27143,0.31129,0.23995,1.3211,0.00108628,0.000362093,0.00108628,0.000362093,0.00108628,0.000362093,0.00108628,0.000362093
34,157.519,0.39648,0.81763,0.27143,0.3325,0.25953,1.32028,0.0010846,0.000361533,0.0010846,0.000361533,0.0010846,0.000361533,0.0010846,0.000361533
35,161.981,0.41208,0.67283,0.27324,0.3478,0.2705,1.38438,0.00108292,0.000360974,0.00108292,0.000360974,0.00108292,0.000360974,0.00108292,0.000360974
36,166.481,0.48522,0.75714,0.35187,0.34746,0.26666,1.38826,0.00108124,0.000360414,0.00108124,0.000360414,0.00108124,0.000360414,0.00108124,0.000360414
37,171.207,0.47585,0.75667,0.36667,0.34746,0.27324,1.3802,0.00107956,0.000359854,0.00107956,0.000359854,0.00107956,0.000359854,0.00107956,0.000359854
38,175.758,0.45338,0.74528,0.36667,0.36518,0.28822,1.43233,0.00107788,0.000359295,0.00107788,0.000359295,0.00107788,0.000359295,0.00107788,0.000359295
39,180.374,0.41053,0.73963,0.36667,0.37662,0.29635,1.39814,0.00107621,0.000358735,0.00107621,0.000358735,0.00107621,0.000358735,0.00107621,0.000358735
40,184.899,0.4051,0.7867,0.39491,0.40121,0.31402,1.37011,0.00107453,0.000358176,0.00107453,0.000358176,0.00107453,0.000358176,0.00107453,0.000358176
41,189.403,0.34719,0.78962,0.39808,0.4013,0.31371,1.35941,0.00107285,0.000357616,0.00107285,0.000357616,0.00107285,0.000357616,0.00107285,0.000357616
42,193.823,0.43553,0.78292,0.39487,0.40136,0.30739,1.37068,0.00107117,0.000357057,0.00107117,0.000357057,0.00107117,0.000357057,0.00107117,0.000357057
43,198.417,0.43208,0.77003,0.39179,0.40136,0.3078,1.35682,0.00106949,0.000356497,0.00106949,0.000356497,0.00106949,0.000356497,0.00106949,0.000356497
44,202.937,0.391,0.77257,0.38502,0.40145,0.31145,1.32255,0.00106781,0.000355937,0.00106781,0.000355937,0.00106781,0.000355937,0.00106781,0.000355937
45,207.435,0.31004,0.76077,0.36667,0.39317,0.30834,1.35153,0.00106613,0.000355378,0.00106613,0.000355378,0.00106613,0.000355378,0.00106613,0.000355378
