epoch,time,train/Loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/Loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,4.92483,1.87348,0.0847,0.03571,0.04248,0.03823,0.94708,0.00114,0.00038,0.00114,0.00038,0.00114,0.00038,0.00114,0.00038
2,9.92426,2.05604,0.67575,0.03571,0.04248,0.03823,0.96253,0.00113832,0.00037944,0.00113832,0.00037944,0.00113832,0.00037944,0.00113832,0.00037944
3,14.5186,1.7477,0.03639,0.23571,0.05237,0.04713,0.97727,0.00113664,0.000378881,0.00113664,0.000378881,0.00113664,0.000378881,0.00113664,0.000378881
4,19.1858,1.69055,0.82106,0.06429,0.05621,0.04988,0.98607,0.00113496,0.000378321,0.00113496,0.000378321,0.00113496,0.000378321,0.00113496,0.000378321
5,23.6523,1.47409,0.84718,0.09031,0.06092,0.05411,0.99316,0.00113328,0.000377762,0.00113328,0.000377762,0.00113328,0.000377762,0.00113328,0.000377762
6,28.2189,1.33779,0.86453,0.09286,0.06217,0.05558,1.02316,0.00113161,0.000377202,0.00113161,0.000377202,0.00113161,0.000377202,0.00113161,0.000377202
7,32.7417,1.18802,0.88598,0.09286,0.19595,0.14839,1.01836,0.00112993,0.000376642,0.00112993,0.000376642,0.00112993,0.000376642,0.00112993,0.000376642
8,37.2861,1.35749,0.91148,0.09286,0.20912,0.15844,1.02114,0.00112825,0.000376083,0.00112825,0.000376083,0.00112825,0.000376083,0.00112825,0.000376083
9,41.7647,1.14812,0.90161,0.09286,0.21607,0.166,1.00936,0.00112657,0.000375523,0.00112657,0.000375523,0.00112657,0.000375523,0.00112657,0.000375523
10,46.293,1.09373,0.86695,0.09286,0.21511,0.16302,1.01124,0.00112489,0.000374964,0.00112489,0.000374964,0.00112489,0.000374964,0.00112489,0.000374964
11,50.6714,0.97621,0.62798,0.23571,0.2197,0.16662,1.03489,0.00112321,0.000374404,0.00112321,0.000374404,0.00112321,0.000374404,0.00112321,0.000374404
12,55.0027,1.04073,0.58233,0.23571,0.22576,0.16415,1.06824,0.00112153,0.000373844,0.00112153,0.000373844,0.00112153,0.000373844,0.00112153,0.000373844
13,59.6803,1.17268,0.63318,0.23571,0.22657,0.16739,1.11227,0.00111985,0.000373285,0.00111985,0.000373285,0.00111985,0.000373285,0.00111985,0.000373285
14,64.2754,0.80609,0.82323,0.23571,0.22834,0.16882,1.16597,0.00111818,0.000372725,0.00111818,0.000372725,0.00111818,0.000372725,0.00111818,0.000372725
15,68.8658,0.75522,0.68387,0.23571,0.24199,0.1812,1.13327,0.0011165,0.000372166,0.0011165,0.000372166,0.0011165,0.000372166,0.0011165,0.000372166
16,73.4787,0.78128,0.67256,0.23571,0.25744,0.1935,1.13245,0.00111482,0.000371606,0.00111482,0.000371606,0.00111482,0.000371606,0.00111482,0.000371606
17,78.0103,0.92686,0.66149,0.27143,0.26018,0.19162,1.14666,0.00111314,0.000371046,0.00111314,0.000371046,0.00111314,0.000371046,0.00111314,0.000371046
18,82.4367,0.72321,0.63696,0.27143,0.26255,0.18967,1.17225,0.00111146,0.000370487,0.00111146,0.000370487,0.00111146,0.000370487,0.00111146,0.000370487
19,86.8646,0.76659,0.6376,0.27143,0.28096,0.20384,1.19734,0.00110978,0.000369927,0.00110978,0.000369927,0.00110978,0.000369927,0.00110978,0.000369927
20,91.2515,0.72604,0.78721,0.27143,0.26492,0.20327,1.25179,0.0011081,0.000369368,0.0011081,0.000369368,0.0011081,0.000369368,0.0011081,0.000369368
21,95.6967,0.6792,0.81234,0.27143,0.28634,0.21108,1.27409,0.00110642,0.000368808,0.00110642,0.000368808,0.00110642,0.000368808,0.00110642,0.000368808
22,100.176,0.87033,0.82545,0.27143,0.28718,0.21179,1.25761,0.00110475,0.000368248,0.00110475,0.000368248,0.00110475,0.000368248,0.00110475,0.000368248
23,105.075,0.82723,0.83413,0.27143,0.28832,0.22409,1.2737,0.00110307,0.000367689,0.00110307,0.000367689,0.00110307,0.000367689,0.00110307,0.000367689
24,109.662,0.61809,0.84198,0.27143,0.29513,0.22591,1.29663,0.00110139,0.000367129,0.00110139,0.000367129,0.00110139,0.000367129,0.00110139,0.000367129
25,114.336,0.57103,0.84651,0.27143,0.29831,0.23138,1.27335,0.00109971,0.00036657,0.00109971,0.00036657,0.00109971,0.00036657,0.00109971,0.00036657
26,119.015,0.57119,0.84793,0.27143,0.28412,0.22265,1.29322,0.00109803,0.00036601,0.00109803,0.00036601,0.00109803,0.00036601,0.00109803,0.00036601
27,123.629,0.65261,0.85163,0.27143,0.28018,0.22057,1.26514,0.00109635,0.00036545,0.00109635,0.00036545,0.00109635,0.00036545,0.00109635,0.00036545
28,128.247,0.54813,0.85208,0.27143,0.28694,0.22337,1.29495,0.00109467,0.000364891,0.00109467,0.000364891,0.00109467,0.000364891,0.00109467,0.000364891
29,132.931,0.46352,0.84717,0.27143,0.29805,0.22504,1.31081,0.00109299,0.000364331,0.00109299,0.000364331,0.00109299,0.000364331,0.00109299,0.000364331
30,137.497,0.4788,0.84382,0.27143,0.31176,0.23716,1.3047,0.00109132,0.000363772,0.00109132,0.000363772,0.00109132,0.000363772,0.00109132,0.000363772
31,141.955,0.43183,0.84129,0.27143,0.32225,0.24789,1.3318,0.00108964,0.000363212,0.00108964,0.000363212,0.00108964,0.000363212,0.00108964,0.000363212
32,146.519,0.49868,0.84189,0.27143,0.328,0.25856,1.3148,0.00108796,0.000362652,0.00108796,0.000362652,0.00108796,0.000362652,0.00108796,0.000362652
